N	2gram	Medvedev_F_3	VeschiIm
1	не есть	4	49
2	т е	32	42
3	не может	24	33
4	не только	9	31
5	может быть	25	29
6	и не	30	28
7	и в	27	26
8	то что	8	24
9	это значит	2	22
10	и т	11	21
11	т д	6	20
12	а не	17	20
13	в смысле	4	15
14	и следовательно	3	15
15	что она	2	14
16	только в	8	14
17	и что	3	13
18	того что	3	13
19	по себе	4	13
20	что это	3	12
21	было бы	6	12
22	но и	10	12
23	сказать что	3	12
24	все же	6	12
25	и ее	6	12
26	что же	5	11
27	таким образом	18	11
28	а и	3	11
29	то же	15	10
30	уже не	3	10
31	в ней	5	10
32	как бы	8	10
33	потому что	7	10
34	не значит	2	10
35	в том	7	9
36	в самом	11	9
37	бы то	4	9
38	и с	3	9
39	ни было	5	9
40	прежде всего	4	9
41	то ни	4	9
42	она есть	3	8
43	но это	2	8
44	с ее	2	8
45	в себе	3	8
46	смысл и	4	8
47	и это	2	8
48	ничего не	2	8
49	смысла и	4	7
50	совершенно не	7	7
51	говорить о	2	7
52	в то	7	7
53	его в	7	7
54	так как	9	7
55	том что	4	7
56	и их	5	7
57	как раз	8	7
58	и пр	15	7
59	в этом	18	7
60	и как	4	6
61	что они	5	6
62	что в	8	6
63	но если	2	6
64	жизни и	4	6
65	ни с	2	6
66	со стороны	4	6
67	отличается от	2	6
68	и только	2	6
69	в результате	5	6
70	точки зрения	16	6
71	но в	6	6
72	ясно что	3	6
73	необходимо чтобы	2	6
74	она не	4	6
75	бы и	3	6
76	если мы	7	6
77	быть только	2	6
78	не менее	7	5
79	должна быть	3	5
80	в отношении	2	5
81	вообще не	2	5
82	это не	3	5
83	тем не	2	5
84	не в	12	5
85	еще не	6	5
86	для этого	2	5
87	чем же	2	5
88	с тем	7	5
89	если бы	12	5
90	отнюдь не	8	5
91	в ее	4	5
92	у нас	3	5
93	это и	2	5
94	одна из	2	5
95	но не	5	5
96	того же	3	5
97	в сущности	2	5
98	и для	6	5
99	ведь не	2	4
100	в своем	2	4
101	с другой	6	4
102	независимо от	5	4
103	же время	7	4
104	только то	3	4
105	из них	2	4
106	от того	2	4
107	и даже	2	4
108	как таковая	3	4
109	о том	4	4
110	и более	3	4
111	и все	8	4
112	самый смысл	2	4
113	как и	14	4
114	так чтобы	2	4
115	во всех	3	4
116	и потому	5	4
117	на почве	2	4
118	нет и	3	4
119	оно не	3	4
120	должен быть	2	4
121	что и	2	4
122	между ними	15	4
123	с точки	14	4
124	то или	2	4
125	мы не	4	4
126	в данном	6	4
127	тем что	5	4
128	она должна	2	3
129	никогда не	5	3
130	что именно	5	3
131	можно сказать	3	3
132	к тому	4	3
133	между смыслом	2	3
134	на этом	2	3
135	как о	2	3
136	в нем	15	3
137	все это	7	3
138	отношения к	2	3
139	можно только	2	3
140	в философии	2	3
141	их в	3	3
142	в чисто	2	3
143	тогда когда	4	3
144	это учение	2	3
145	нисколько не	2	3
146	перестает быть	2	3
147	к другому	2	3
148	в жизни	11	3
149	что он	6	3
150	и притом	2	3
151	в своей	6	3
152	вместе с	6	3
153	так и	21	3
154	да и	4	3
155	только на	4	3
156	и тогда	2	3
157	в той	3	3
158	самом деле	16	3
159	бы в	6	3
160	того чтобы	5	3
161	хотя бы	6	3
162	тому как	5	3
163	подобно тому	4	3
164	в основе	3	3
165	где она	2	2
166	его и	3	2
167	тому что	3	2
168	говорить об	2	2
169	человека и	2	2
170	именно потому	2	2
171	была бы	2	2
172	на все	2	2
173	ни в	8	2
174	в самой	2	2
175	мы уже	3	2
176	в виду	3	2
177	только один	2	2
178	бы к	2	2
179	быть понято	4	2
180	и тем	3	2
181	жизнь не	4	2
182	данном случае	4	2
183	в слове	4	2
184	так же	9	2
185	жизнь и	3	2
186	от всех	4	2
187	в своих	6	2
188	от одного	2	2
189	и понимания	6	2
190	как ее	4	2
191	но ведь	4	2
192	свое выражение	2	2
193	как это	4	2
194	мы можем	4	2
195	поэтому и	2	2
196	является в	2	2
197	от этого	2	2
198	жизни в	3	2
199	именно так	5	2
200	превращается в	2	2
201	и во	2	2
202	бы ни	4	2
203	является и	2	2
204	то в	2	2
205	но оно	2	2
206	никак не	3	2
207	но уже	2	2
208	как в	4	2
209	может и	3	2
210	как мы	8	2
211	можно говорить	4	2
212	допустим что	2	2
213	для того	4	2
214	тем же	7	2
215	и его	19	2
216	той же	3	2
217	ничто не	3	2
218	во всяком	6	2
219	смыслом и	2	2
220	ту же	2	2
221	на ее	4	2
222	если же	5	2
223	дело в	2	2
224	обойтись без	2	2
225	том как	2	2
