N	2gram	Voloshinov_1	Poddanst
1	не только	27	17
2	и в	38	14
3	и не	14	12
4	в области	5	11
5	в отношении	2	10
6	в этом	10	10
7	то же	14	9
8	в том	2	9
9	в качестве	4	9
10	но в	5	9
11	хотя бы	18	8
12	же время	7	7
13	в то	9	7
14	только в	6	7
15	быть может	3	6
16	но и	13	6
17	в ней	8	6
18	было бы	7	6
19	н о	2	5
20	не в	6	5
21	в которых	2	5
22	и пр	4	5
23	может быть	13	5
24	в котором	3	4
25	то что	8	4
26	если бы	4	4
27	не может	12	4
28	и к	4	4
29	а в	5	4
30	том что	3	4
31	мы должны	10	4
32	как бы	28	4
33	и потому	2	4
34	в нем	4	3
35	с тем	8	3
36	и без	4	3
37	это не	3	3
38	прежде всего	21	3
39	тем самым	7	3
40	для того	9	3
41	с точки	5	3
42	мы не	9	3
43	и как	9	3
44	между тем	3	3
45	но не	2	3
46	точки зрения	10	3
47	в себе	9	3
48	что мы	11	3
49	тот же	2	3
50	потому что	5	3
51	хотя и	3	3
52	я и	2	3
53	и тем	6	2
54	так называемые	4	2
55	в мире	2	2
56	не к	3	2
57	для них	2	2
58	во всех	6	2
59	в частности	3	2
60	отнюдь не	10	2
61	друг другу	2	2
62	в глубинах	2	2
63	заключает в	4	2
64	все это	4	2
65	отношения к	3	2
66	с этим	2	2
67	в жизни	2	2
68	главным образом	3	2
69	еще более	2	2
70	и вот	3	2
71	было в	4	2
72	в значительной	2	2
73	а не	6	2
74	того что	4	2
75	слова но	3	2
76	к чему	2	2
77	точек зрения	4	2
78	должно быть	2	2
79	для нас	3	2
80	в ее	3	2
81	есть не	2	2
82	теперь в	3	2
83	не нужно	2	2
84	не было	2	2
85	в начале	3	2
86	из них	3	2
87	нужно было	2	2
88	и это	7	2
89	да и	4	2
90	в его	6	2
91	и с	5	2
92	помнить что	2	2
