N	2gram	Bakhtin_Pr_1	Poddanst
1	не только	9	17
2	и в	38	14
3	и не	42	12
4	в области	11	11
5	в этом	15	10
6	то же	5	9
7	в том	8	9
8	но в	4	9
9	хотя бы	4	8
10	в пределах	6	8
11	же время	3	7
12	в то	4	7
13	только в	13	7
14	но и	9	6
15	в ней	4	6
16	было бы	8	6
17	с другой	7	5
18	не в	7	5
19	и пр	2	5
20	и о	5	5
21	может быть	26	5
22	в котором	2	4
23	то что	8	4
24	что в	7	4
25	если бы	3	4
26	в своем	5	4
27	не может	27	4
28	и к	3	4
29	а в	6	4
30	том что	3	4
31	мы должны	2	4
32	как бы	22	4
33	и потому	4	4
34	в нем	15	3
35	и т	14	3
36	в россии	2	3
37	столь же	2	3
38	это не	5	3
39	с одной	3	3
40	прежде всего	13	3
41	тем самым	4	3
42	для того	2	3
43	с точки	6	3
44	и как	8	3
45	с ними	4	3
46	между тем	7	3
47	но не	12	3
48	могут быть	5	3
49	точки зрения	8	3
50	в себе	4	3
51	одной стороны	3	3
52	хотя и	3	3
53	творчества и	5	2
54	не менее	4	2
55	и тем	3	2
56	в мире	3	2
57	не к	6	2
58	и есть	2	2
59	во всех	11	2
60	в частности	2	2
61	не будем	3	2
62	отнюдь не	19	2
63	в них	5	2
64	все это	3	2
65	отношения к	6	2
66	может и	4	2
67	при посредстве	2	2
68	и других	2	2
69	которую мы	3	2
70	в значительной	2	2
71	а не	5	2
72	того что	2	2
73	слова но	3	2
74	к чему	2	2
75	должно быть	5	2
76	в ее	4	2
77	говорить о	3	2
78	есть не	2	2
79	одна из	2	2
80	из важнейших	3	2
81	в виде	2	2
82	не нужно	5	2
83	не было	2	2
84	в начале	2	2
85	например в	3	2
86	и это	3	2
87	да и	3	2
88	в его	43	2
89	и с	17	2
90	помнить что	3	2
