N	3gram	Bakhtin_Pr_3	Marksizm
1	с точки зрения	4	13
2	не может быть	6	10
3	то же время	12	8
4	в то же	12	8
5	по отношению к	5	8
6	с самого начала	8	5
7	в самом деле	3	5
8	в большинстве случаев	2	5
9	но в то	3	5
10	смысле этого слова	2	4
11	той или иной	2	4
12	то ни было	4	4
13	бы то ни	4	4
14	в отношении к	7	4
15	на самом деле	10	4
16	в той или	2	3
17	о том что	2	3
18	в отличие от	2	3
19	и не может	2	3
20	и не в	3	3
21	как мы видели	2	3
22	в высшей степени	3	3
23	по крайней мере	3	2
24	во всяком случае	5	2
25	к тому же	2	2
26	и прежде всего	4	2
27	а не в	2	2
