N	2gram	Propp_Russ_1	Myslijsy
1	потому что	10	46
2	то есть	3	34
3	в том	17	32
4	и в	36	30
5	может быть	8	28
6	то же	3	23
7	не только	22	21
8	только в	4	21
9	для нас	6	20
10	но и	16	19
11	том что	19	18
12	то что	6	18
13	того что	4	18
14	что в	19	17
15	и не	6	15
16	а не	2	15
17	таким образом	6	14
18	что и	7	13
19	так как	15	13
20	вместе с	10	12
21	а в	9	12
22	этого слова	3	11
23	так и	7	11
24	как и	10	10
25	как в	5	10
26	и что	4	10
27	в этом	12	10
28	из этих	4	9
29	в нем	2	9
30	мы не	6	9
31	между тем	7	9
32	в ней	2	8
33	слова в	3	7
34	к тому	4	7
35	как мы	10	7
36	так что	2	7
37	с тем	8	7
38	но не	2	7
39	тем что	4	7
40	но это	4	6
41	с этим	2	6
42	из них	8	6
43	например в	2	6
44	не может	4	6
45	там же	5	6
46	уже не	6	6
47	не имеет	6	6
48	с ним	2	6
49	одно из	5	5
50	независимо от	2	5
51	в них	6	5
52	думать что	3	5
53	и как	2	5
54	в своем	3	5
55	еще не	4	5
56	только по	2	5
57	не менее	3	5
58	и т	10	5
59	к ней	2	5
60	до того	2	4
61	что это	3	4
62	что именно	2	4
63	все это	6	4
64	в его	2	4
65	себя и	2	4
66	один из	8	4
67	а и	5	4
68	не было	2	4
69	и по	8	4
70	того как	5	4
71	мы должны	2	4
72	в один	2	4
73	далеко не	3	4
74	и потому	2	4
75	могут быть	2	3
76	тому что	4	3
77	в образе	2	3
78	к этому	4	3
79	не можем	3	3
80	тем не	3	3
81	свою очередь	2	3
82	мы можем	2	3
83	в свою	3	3
84	такое же	2	3
85	при этом	6	3
86	что она	2	3
87	как бы	5	3
88	в целом	2	3
89	разница между	2	3
90	только на	3	3
91	т д	9	3
92	представления и	2	3
93	тем и	2	3
94	в силу	2	3
95	так же	3	3
96	или в	2	3
97	в каждом	2	3
98	и на	10	3
99	там где	2	3
100	во время	14	2
101	но все	3	2
102	не были	2	2
103	об этом	9	2
104	связи с	4	2
105	в какой	2	2
106	его с	4	2
107	так например	6	2
108	та же	2	2
109	в одном	3	2
110	на все	2	2
111	показывает что	5	2
112	его к	2	2
113	от них	3	2
114	мы видим	2	2
115	что они	7	2
116	у него	2	2
117	но тем	2	2
118	но что	2	2
119	она не	2	2
120	несмотря на	3	2
121	или на	3	2
122	к слову	2	2
123	народной поэзии	3	2
124	том же	2	2
125	должно было	2	2
126	все же	5	2
127	и до	2	2
128	природы и	2	2
129	многие другие	2	2
130	в их	4	2
131	так в	4	2
132	входит в	4	2
133	тогда как	2	2
134	в других	11	2
135	в виде	6	2
136	в разных	3	2
137	а с	4	2
138	которого в	2	2
139	к тем	3	2
140	в которых	5	2
141	что по	4	2
142	тут же	2	2
143	их в	3	2
144	с в	4	2
145	точки зрения	3	2
146	связь между	2	2
147	ничего общего	2	2
148	о том	8	2
149	в области	3	2
150	по содержанию	3	2
151	и с	2	2
