N	2gram	Losev_Prob_4	Dialekti
1	не есть	12	40
2	и не	28	30
3	по себе	11	25
4	и т	4	21
5	т д	3	19
6	и в	20	18
7	может быть	9	17
8	точки зрения	14	17
9	в нем	5	16
10	и есть	4	16
11	ни в	17	15
12	так что	6	15
13	не имеет	4	15
14	значит что	8	14
15	а не	7	14
16	потому что	15	14
17	что в	3	13
18	то что	15	13
19	не только	24	13
20	и даже	9	13
21	если бы	8	12
22	было бы	14	12
23	в мифе	3	12
24	и что	2	12
25	с точки	11	12
26	в этом	9	12
27	не может	5	12
28	что это	2	11
29	что он	8	11
30	как бы	4	11
31	учение о	3	11
32	все это	9	11
33	это значит	10	11
34	в себе	12	11
35	так как	5	11
36	прежде всего	11	10
37	несмотря на	4	10
38	есть нечто	9	10
39	то же	7	10
40	сказать что	7	10
41	отнюдь не	10	9
42	это не	7	9
43	в том	20	9
44	это есть	3	9
45	так и	10	9
46	том что	12	9
47	и то	2	9
48	ясно что	7	8
49	сама по	2	8
50	но это	6	8
51	совершенно не	3	8
52	к нему	3	8
53	в каком	6	8
54	не существует	5	7
55	не просто	16	7
56	вовсе не	21	7
57	и как	3	7
58	то в	2	7
59	но и	14	7
60	что она	4	7
61	мы находим	2	7
62	что не	4	7
63	в аллегории	5	7
64	идея и	3	7
65	также и	13	7
66	той или	14	7
67	с другой	7	6
68	можно сказать	5	6
69	да и	5	6
70	хотя бы	7	6
71	никак не	4	6
72	ни с	4	6
73	не было	3	6
74	есть ни	2	6
75	не в	13	6
76	в то	4	6
77	ни на	3	6
78	и ни	5	6
79	и образ	4	6
80	в чем	2	6
81	с ним	4	6
82	не то	2	6
83	но в	8	6
84	сам по	6	6
85	в этих	5	5
86	в своем	3	5
87	как же	2	5
88	говорит о	2	5
89	ни о	4	5
90	но если	6	5
91	все же	2	5
92	в отношении	4	5
93	общего с	2	5
94	и он	2	5
95	есть только	2	5
96	а в	4	5
97	можно было	4	5
98	и с	7	5
99	говорить о	2	5
100	мы должны	3	5
101	в виду	6	5
102	и более	3	4
103	по крайней	6	4
104	у пушкина	3	4
105	в конце	2	4
106	к тому	3	4
107	не мешает	3	4
108	во всяком	8	4
109	об этом	6	4
110	крайней мере	6	4
111	это и	4	4
112	но не	5	4
113	хотя и	5	4
114	каком случае	3	4
115	в символе	6	4
116	в котором	2	4
117	то это	3	4
118	так же	5	4
119	другой стороны	6	4
120	как раз	4	4
121	и притом	2	4
122	только и	5	4
123	как мы	3	4
124	миф есть	5	4
125	почти всегда	2	4
126	или другой	3	4
127	образ и	2	4
128	мы можем	3	4
129	к ней	2	4
130	и вообще	6	4
131	ничего общего	5	4
132	о том	5	4
133	как это	3	4
134	содержит в	8	3
135	всех этих	6	3
136	сознания и	3	3
137	в них	5	3
138	больше ничего	2	3
139	все равно	3	3
140	этом смысле	3	3
141	стороны и	2	3
142	есть не	6	3
143	не является	10	3
144	или иной	13	3
145	но эта	2	3
146	что и	3	3
147	а только	6	3
148	при условии	2	3
149	меньше всего	3	3
150	вплоть до	3	3
151	и аллегорией	2	3
152	что они	2	3
153	более или	2	3
154	уже и	3	3
155	с мифологией	2	3
156	говорит что	2	3
157	случае не	5	3
158	действительности и	5	3
159	на себе	3	3
160	конечно не	3	3
161	и о	5	3
162	он не	2	3
163	в его	3	3
164	и потому	7	3
165	и всех	2	3
166	жизни и	5	3
167	но только	2	3
168	но она	3	3
169	указывает на	4	3
170	или менее	2	3
171	только на	2	3
172	имеет ничего	2	3
173	в самом	2	3
174	даже если	3	3
175	в разных	4	3
176	еще и	3	3
177	еще более	2	3
178	но все	3	3
179	на самом	5	3
180	тех или	4	3
181	к мифу	2	3
182	самом деле	3	3
183	была бы	2	3
184	только что	2	3
185	жизнь и	4	3
186	в данном	6	3
187	очень много	2	3
188	в ней	7	3
189	даже и	13	3
190	только в	23	3
191	и все	8	3
192	есть символ	11	3
193	в сознании	3	3
194	ни к	2	2
195	не менее	10	2
196	но они	2	2
197	бы и	3	2
198	и мифа	2	2
199	именно в	7	2
200	в виде	22	2
201	в частности	2	2
202	были бы	3	2
203	человеческого сознания	2	2
204	в качестве	10	2
205	или других	2	2
206	мифа и	2	2
207	как в	5	2
208	но так	2	2
209	и от	6	2
210	точно так	3	2
211	с другими	3	2
212	от всякой	2	2
213	о которых	2	2
214	ни было	2	2
215	есть миф	3	2
216	как и	6	2
217	всегда есть	4	2
218	что именно	2	2
219	является не	2	2
220	том или	3	2
221	что здесь	6	2
222	и другое	3	2
223	как о	3	2
224	тому же	2	2
225	здесь в	5	2
226	для него	3	2
227	еще не	7	2
228	и может	2	2
229	для того	3	2
230	и больше	2	2
231	никто не	2	2
232	в корне	2	2
233	себе и	3	2
234	и является	3	2
235	относится к	2	2
236	всяком случае	4	2
237	тем более	4	2
238	другими словами	3	2
239	из них	3	2
240	в своей	4	2
241	с ней	2	2
242	которое в	2	2
243	дело не	3	2
244	для всякого	2	2
245	и тогда	2	2
246	для этого	2	2
247	тут и	4	2
248	идет речь	2	2
249	с этим	4	2
