N	2gram	Trubetskoy_1	Komedia
1	и в	14	22
2	и не	19	21
3	том что	9	13
4	в том	17	12
5	таким образом	11	12
6	со стороны	4	11
7	так как	4	11
8	ни в	2	10
9	потому что	5	10
10	до сих	5	9
11	в самом	3	9
12	вместе с	4	9
13	сих пор	5	9
14	если бы	6	8
15	в своем	6	8
16	что он	6	8
17	в его	4	8
18	что и	3	8
19	в глазах	2	8
20	в этом	17	8
21	о том	7	8
22	его в	4	8
23	при этом	5	7
24	то же	11	7
25	а в	5	7
26	в конце	3	7
27	во время	2	6
28	ясно что	2	6
29	еще не	3	6
30	для того	6	6
31	к тому	7	6
32	может быть	9	6
33	самом деле	7	6
34	и что	2	6
35	того чтобы	8	6
36	так что	2	6
37	в то	10	6
38	связи с	3	5
39	что в	4	5
40	же время	10	5
41	прежде всего	8	5
42	то это	3	5
43	не только	9	5
44	речь идет	2	5
45	в своей	5	5
46	из них	3	5
47	все это	6	5
48	по отношению	2	5
49	он не	5	5
50	тем что	3	5
51	любви к	2	5
52	к нему	2	5
53	к себе	2	5
54	с ним	2	5
55	но в	2	5
56	с тем	6	4
57	у него	2	4
58	отнюдь не	7	4
59	между собой	5	4
60	все же	4	4
61	не в	4	4
62	несмотря на	3	4
63	в ней	2	4
64	и т	3	4
65	то что	13	4
66	но и	10	4
67	а не	2	4
68	и для	6	4
69	друг друга	3	4
70	так же	2	4
71	точки зрения	11	4
72	на себя	2	4
73	в себе	9	4
74	хотя бы	5	4
75	и с	7	4
76	в частности	2	3
77	никогда не	5	3
78	то ни	4	3
79	с этим	2	3
80	если не	2	3
81	в нем	5	3
82	на то	5	3
83	нисколько не	2	3
84	и к	6	3
85	как и	4	3
86	в начале	2	3
87	в этой	4	3
88	все что	4	3
89	было бы	5	3
90	и тот	2	3
91	конечно не	5	3
92	как бы	4	3
93	даже не	2	3
94	приводит к	4	3
95	не может	22	3
96	в течение	2	3
97	с точки	9	3
98	и даже	2	3
99	не так	2	3
100	в других	2	3
101	любовь к	2	3
102	их в	2	3
103	одной из	3	3
104	мы можем	2	3
105	во всяком	9	3
106	не о	2	3
107	но если	3	3
108	говорить о	3	3
109	на это	2	3
110	всяком случае	6	3
111	остается в	2	2
112	только для	2	2
113	состоит в	2	2
114	себя и	5	2
115	в качестве	3	2
116	чтобы в	2	2
117	не будет	7	2
118	это в	2	2
119	не могут	4	2
120	себя от	3	2
121	разумеется что	2	2
122	этот человек	2	2
123	этом случае	3	2
124	по существу	5	2
125	из всех	2	2
126	в силу	2	2
127	что они	3	2
128	она не	2	2
129	бы то	4	2
130	что с	2	2
131	и если	7	2
132	совершенно не	2	2
133	и о	2	2
134	от того	4	2
135	конце концов	3	2
136	в котором	2	2
137	если же	2	2
138	во всех	5	2
139	на основании	2	2
140	в их	4	2
141	целый ряд	2	2
142	они будут	2	2
143	даже если	2	2
144	отношения к	2	2
145	не было	3	2
146	в мире	4	2
147	из которых	5	2
148	за то	2	2
149	что для	3	2
150	отказаться от	4	2
151	в таком	2	2
152	от своей	2	2
153	можно было	4	2
154	в своих	6	2
155	и на	5	2
156	людей и	2	2
157	в результате	2	2
158	тому что	2	2
159	между тем	5	2
160	и во	3	2
161	речь шла	2	2
162	в другом	3	2
163	из этого	3	2
164	к этой	4	2
165	в области	2	2
166	больше чем	2	2
167	за нее	2	2
