N	2gram	Trubetskoy_1	RusskieA
1	и в	26	29
2	что в	9	22
3	том что	7	22
4	в том	11	22
5	как бы	12	18
6	состоит в	2	15
7	в других	3	15
8	и другие	3	14
9	может быть	10	13
10	так как	9	13
11	во время	4	12
12	в этом	15	11
13	все это	6	10
14	и с	10	10
15	не только	10	10
16	о том	6	9
17	а в	4	9
18	но и	9	8
19	мы видели	2	7
20	с тем	18	6
21	еще не	2	6
22	для того	5	6
23	вместе с	15	6
24	таким образом	22	6
25	при этом	3	6
26	того чтобы	5	6
27	и на	2	6
28	на нее	3	6
29	мы имеем	2	6
30	представление о	6	5
31	потому что	7	5
32	к этому	3	5
33	должна была	2	5
34	то что	7	5
35	и что	4	5
36	но не	8	5
37	с ней	3	5
38	для этого	2	5
39	к жизни	5	5
40	не может	4	5
41	но в	7	5
42	именно в	2	4
43	в них	2	4
44	и все	2	4
45	тогда когда	2	4
46	уже не	3	4
47	по существу	2	4
48	так что	3	4
49	не в	2	4
50	из них	7	4
51	к нему	7	4
52	же как	3	4
53	а также	2	4
54	в русских	2	4
55	так же	5	4
56	то же	4	4
57	а не	5	4
58	в таком	3	4
59	в которых	4	4
60	в виде	4	4
61	далеко не	4	4
62	должен был	4	3
63	в этих	4	3
64	в качестве	3	3
65	и от	4	3
66	не всегда	2	3
67	должно было	2	3
68	главным образом	8	3
69	в народном	3	3
70	и другой	2	3
71	того что	3	3
72	и о	3	3
73	но если	2	3
74	в котором	4	3
75	с другими	4	3
76	не имеет	5	3
77	во всех	2	3
78	связь с	2	3
79	все эти	6	3
80	и по	4	3
81	и после	2	3
82	между тем	2	3
83	в этой	4	3
84	что это	3	3
85	в эту	2	3
86	не менее	3	2
87	начиная с	2	2
88	с этой	3	2
89	связи с	9	2
90	никогда не	5	2
91	связанные с	7	2
92	с другой	8	2
93	из этих	10	2
94	в образе	2	2
95	прежде всего	2	2
96	что и	6	2
97	и как	3	2
98	одним из	2	2
99	и при	3	2
100	у них	3	2
101	связано с	2	2
102	одной стороны	7	2
103	тем не	3	2
104	из этого	2	2
105	иной характер	2	2
106	в виду	2	2
107	один из	2	2
108	не с	2	2
109	все же	6	2
110	не к	2	2
111	а с	7	2
112	не было	2	2
113	с одной	7	2
114	в течение	4	2
115	образом в	5	2
116	тем и	2	2
117	из которых	4	2
118	и для	5	2
119	людей и	2	2
120	одно из	2	2
121	в то	4	2
122	так чтобы	2	2
123	представляет собой	3	2
124	но вместе	2	2
125	в которой	3	2
