N	2gram	Nazirov_Vr_1	Istorich
1	и в	8	28
2	может быть	4	25
3	не может	2	15
4	никогда не	2	14
5	для нас	4	13
6	что в	7	12
7	то же	5	12
8	не только	9	12
9	что он	4	10
10	все же	6	10
11	но и	7	10
12	т е	3	10
13	и что	8	10
14	в том	3	9
15	о том	4	9
16	то что	7	9
17	и не	5	9
18	таким образом	2	8
19	в этом	8	8
20	но в	6	8
21	это не	4	7
22	том что	3	7
23	еще не	2	7
24	в ней	4	7
25	а в	2	7
26	так же	4	7
27	не менее	2	6
28	в этой	2	6
29	его в	3	6
30	вместе с	2	6
31	в своем	3	5
32	на основе	2	5
33	их в	2	5
34	в его	3	5
35	все это	4	4
36	связи с	3	4
37	на то	3	4
38	об этом	5	4
39	но это	2	4
40	так в	2	4
41	в связи	3	4
42	как и	6	4
43	и даже	6	4
44	и с	6	4
45	к ним	2	4
46	мы знаем	2	4
47	я не	3	3
48	во время	2	3
49	в начале	6	3
50	при этом	4	3
51	наряду с	3	3
52	в котором	6	3
53	из них	2	3
54	уже не	2	3
55	и его	3	3
56	и он	2	3
57	тем что	3	3
58	в то	5	3
59	же не	2	3
60	а с	2	2
61	к этому	3	2
62	его и	2	2
63	столь же	2	2
64	ко мне	2	2
65	и как	3	2
66	этот момент	2	2
67	об этой	2	2
68	одна из	2	2
69	для него	2	2
70	на первый	2	2
71	с ним	4	2
72	же как	2	2
73	как бы	4	2
74	о нем	6	2
75	в нем	6	2
76	в русской	3	2
77	как раз	2	2
78	отношения к	2	2
79	он не	3	2
80	там же	2	2
81	одним из	3	2
82	между тем	5	2
83	в себе	2	2
84	на это	2	2
85	при помощи	2	2
86	ответ на	2	2
