N	2gram	Vygotskiy__5	VelikijI
1	и не	6	20
2	и в	30	16
3	то что	37	9
4	так как	9	9
5	еще не	5	8
6	что они	5	7
7	и потому	5	7
8	а не	8	7
9	не есть	4	6
10	как бы	19	5
11	но и	6	5
12	все это	2	5
13	что есть	2	5
14	того что	8	5
15	и есть	5	4
16	что все	6	4
17	что он	17	4
18	в нем	7	4
19	как и	6	4
20	что мы	11	4
21	в котором	2	4
22	так и	3	4
23	мы хотим	2	4
24	потому что	23	4
25	в этом	14	4
26	в ней	4	4
27	и все	4	4
28	в его	4	4
29	с его	2	3
30	должна быть	2	3
31	что в	24	3
32	по этому	5	3
33	в этих	3	3
34	в них	4	3
35	в конце	4	3
36	ни в	3	3
37	в том	27	3
38	не в	8	3
39	тот же	3	3
40	и мы	16	3
41	к тому	8	3
42	во всех	2	3
43	никогда не	9	3
44	то это	4	3
45	что и	3	3
46	жизни и	6	3
47	в своей	4	3
48	тому что	8	3
49	и что	23	3
50	хотя бы	3	3
51	и для	6	3
52	должно быть	2	3
53	нас и	2	3
54	все эти	2	3
55	но в	5	3
56	что от	2	2
57	что их	2	2
58	не могут	3	2
59	с тем	8	2
60	давно уже	2	2
61	это не	3	2
62	прежде всего	4	2
63	для нас	3	2
64	том что	21	2
65	одна из	3	2
66	от него	4	2
67	но не	7	2
68	для него	3	2
69	когда в	2	2
70	того чтобы	20	2
71	не только	16	2
72	не могли	4	2
73	один из	5	2
74	но мы	2	2
75	не с	2	2
76	и т	7	2
77	на том	2	2
78	в форме	2	2
79	т д	3	2
80	а с	5	2
81	все равно	2	2
82	тем что	6	2
83	в себя	2	2
84	мы не	3	2
85	а в	4	2
86	можно было	3	2
87	никогда еще	2	2
88	и то	9	2
89	является в	2	2
90	могут быть	8	2
91	только в	5	2
92	и это	8	2
