N	2gram	Tiupa_Anal_2	KulturaY
1	т е	2	32
2	и в	16	23
3	точки зрения	4	23
4	в том	12	22
5	не только	16	17
6	было бы	3	16
7	в этом	18	16
8	с точки	2	16
9	может быть	6	14
10	что в	2	13
11	в самом	6	13
12	не менее	4	12
13	том что	12	11
14	а не	10	11
15	того что	2	11
16	в его	2	11
17	можно было	3	11
18	и не	12	10
19	прежде всего	3	9
20	тем не	3	9
21	еще не	2	9
22	таким образом	2	9
23	если бы	3	8
24	лишь в	9	8
25	уже не	4	8
26	в нашем	3	7
27	с другой	6	7
28	или иной	3	7
29	на фоне	3	7
30	те же	2	7
31	речи в	2	7
32	в данном	8	7
33	сказать что	2	7
34	как это	6	7
35	по себе	2	6
36	что и	3	6
37	при этом	10	6
38	и тем	4	6
39	так и	15	6
40	в их	3	6
41	не может	4	6
42	то же	4	6
43	в общем	2	6
44	могут быть	10	6
45	говорить о	6	6
46	только в	4	6
47	о том	7	6
48	ничего не	9	6
49	в рамках	3	5
50	вовсе не	2	5
51	как и	14	5
52	не в	4	5
53	хотя и	4	5
54	что она	2	5
55	как бы	10	5
56	как мы	3	5
57	а в	3	5
58	тем что	3	5
59	той или	3	5
60	в поэзии	2	5
61	один из	2	4
62	этого слова	3	4
63	а также	7	4
64	этом случае	4	4
65	в целом	8	4
66	того же	4	4
67	одной стороны	4	4
68	не случайно	8	4
69	столь же	4	4
70	в сущности	4	4
71	в своей	2	4
72	то что	7	4
73	данном случае	5	4
74	как в	4	4
75	как раз	4	4
76	в своем	4	4
77	с одной	5	4
78	тем самым	4	4
79	в таком	2	4
80	не столько	3	4
81	между тем	2	4
82	отнюдь не	8	3
83	как о	3	3
84	именно в	3	3
85	или иного	3	3
86	к тому	7	3
87	и к	5	3
88	что на	3	3
89	по существу	2	3
90	но не	4	3
91	по поводу	3	3
92	по преимуществу	4	3
93	он не	2	3
94	речь идет	2	3
95	не есть	2	3
96	но и	12	3
97	на него	2	3
98	вообще и	2	3
99	по отношению	4	3
100	которые и	2	3
101	другой стороны	2	3
102	тому же	4	3
103	не имеет	2	3
104	не так	4	3
105	той же	2	3
106	в результате	3	3
107	этого рода	2	3
108	в то	2	3
109	я в	3	3
110	она не	2	3
111	того или	3	3
112	я и	3	3
113	все это	4	2
114	о чем	2	2
115	в частности	16	2
116	и иной	2	2
117	в одном	2	2
118	что все	2	2
119	и я	2	2
120	можно сказать	4	2
121	к его	2	2
122	состоит в	8	2
123	а то	2	2
124	и если	3	2
125	в качестве	11	2
126	за пределы	4	2
127	иначе говоря	11	2
128	нас к	2	2
129	е к	2	2
130	никак не	2	2
131	не о	2	2
132	в таких	2	2
133	в котором	2	2
134	его в	2	2
135	не с	4	2
136	отношению к	4	2
137	в пределах	9	2
138	себя внимание	3	2
139	своего рода	12	2
140	вместе с	2	2
141	дело не	2	2
142	внимание на	2	2
143	языка и	2	2
144	в текст	2	2
145	в отличие	2	2
146	еще более	2	2
147	в двух	2	2
148	на этот	2	2
149	так же	2	2
150	на себя	5	2
151	не знает	3	2
152	он в	4	2
153	на протяжении	2	2
154	тому как	3	2
155	на этом	4	2
156	в этих	2	2
157	таком случае	2	2
158	отличие от	2	2
159	мы имеем	3	2
160	но в	6	2
