N	2gram	Voloshinov_1	slovoVRo
1	и в	12	39
2	может быть	14	37
3	и его	13	33
4	не только	4	24
5	и не	10	22
6	но и	3	21
7	не может	16	20
8	в нем	6	19
9	до конца	2	17
10	все это	3	16
11	в этом	4	16
12	так и	4	15
13	а не	5	14
14	как в	5	13
15	в пределах	3	13
16	в процессе	6	13
17	слово в	3	11
18	не в	4	9
19	и с	3	9
20	прежде всего	8	8
21	словом и	2	8
22	оно не	2	8
23	слова и	6	8
24	таким образом	12	8
25	точки зрения	14	8
26	с его	2	7
27	при этом	6	7
28	для него	3	7
29	еще не	3	7
30	в его	2	7
31	как бы	13	7
32	никогда не	5	7
33	в этих	2	7
34	и потому	2	7
35	могут быть	2	7
36	с ним	3	7
37	в них	3	6
38	и к	4	6
39	все же	4	6
40	как и	5	6
41	в своем	2	6
42	но не	2	6
43	она не	2	6
44	жизни и	4	6
45	там где	2	6
46	все эти	3	6
47	но в	5	6
48	с другой	4	5
49	это не	2	5
50	и для	3	5
51	и все	2	5
52	со словом	2	5
53	по себе	3	5
54	для нас	7	5
55	том что	5	5
56	но все	2	5
57	одной стороны	2	5
58	только в	6	5
59	в том	6	5
60	с одной	2	5
61	уже не	4	5
62	и наконец	3	5
63	героя и	5	5
64	конечно не	3	5
65	не менее	3	4
66	и др	5	4
67	себя и	2	4
68	ни в	3	4
69	отношению к	11	4
70	зависимости от	4	4
71	в основном	2	4
72	в зависимости	2	4
73	сливается с	2	4
74	в отношении	2	4
75	по отношению	11	4
76	то же	5	4
77	с помощью	6	4
78	с другими	2	4
79	и на	4	4
80	дело с	2	4
81	в то	2	4
82	отношении к	3	4
83	отношение к	4	4
84	его в	4	4
85	здесь не	3	4
86	так как	9	4
87	истории литературы	2	3
88	что в	2	3
89	материала и	4	3
90	точку зрения	2	3
91	хотя бы	5	3
92	должна быть	5	3
93	стороны и	2	3
94	что и	2	3
95	точек зрения	3	3
96	но это	2	3
97	как к	3	3
98	в ней	6	3
99	разрыв между	2	3
100	к нему	4	3
101	в некоторых	3	3
102	быть и	3	3
103	идеологического творчества	2	3
104	с точки	2	3
105	сказать что	7	3
106	между тем	3	3
107	еще раз	2	3
108	в особенности	2	3
109	в чем	2	3
110	как это	2	3
111	в данном	2	2
112	уже в	2	2
113	и более	3	2
114	независимо от	2	2
115	и другие	2	2
116	в нашем	11	2
117	тогда когда	2	2
118	и поэтическое	2	2
119	на границе	3	2
120	как уже	2	2
121	конечно в	2	2
122	влияние на	2	2
123	в себе	3	2
124	и здесь	2	2
125	более того	2	2
126	и слово	2	2
127	нашего сознания	2	2
128	в поэзии	3	2
129	к материалу	4	2
130	за пределы	4	2
131	известной степени	2	2
132	и проч	3	2
133	точка зрения	3	2
134	но мы	2	2
135	сих пор	3	2
136	лежит на	2	2
137	то что	5	2
138	дело в	4	2
139	его как	2	2
140	вместе с	2	2
141	подчеркнуть что	2	2
142	те же	2	2
143	все они	2	2
144	на него	2	2
145	в форме	2	2
146	кроме того	2	2
147	смысл и	2	2
148	на материале	2	2
149	в себя	2	2
150	мы не	3	2
151	автора и	2	2
152	он не	2	2
153	нуждается в	3	2
154	к его	2	2
155	ведь и	3	2
156	может стать	2	2
157	о том	3	2
158	контекста в	2	2
159	из него	2	2
160	до сих	3	2
