N	2gram	Vygotskiy__5	UchenyiS
1	и в	16	14
2	а не	10	10
3	не только	16	10
4	и не	12	8
5	прежде всего	3	8
6	то что	26	7
7	в этом	25	7
8	вот почему	3	7
9	не может	18	7
10	может быть	9	6
11	хотя бы	5	5
12	все это	2	5
13	то же	8	5
14	но и	6	4
15	в этой	6	4
16	в их	3	4
17	с другой	4	4
18	только к	2	3
19	но в	6	3
20	как и	8	3
21	и то	4	3
22	все же	3	3
23	в своей	2	3
24	в частности	3	3
25	очевидно что	2	3
26	другой стороны	2	3
27	для него	5	3
28	это не	4	3
29	в то	5	3
30	было бы	10	3
31	и т.д	4	3
32	в области	12	3
33	у нас	2	3
34	том что	15	2
35	но не	10	2
36	в том	18	2
37	по существу	3	2
38	мы не	3	2
39	не есть	4	2
40	не в	6	2
41	но это	3	2
42	мы и	5	2
43	должна быть	5	2
44	о чем	2	2
45	если бы	8	2
46	только в	10	2
47	и с	3	2
48	тем что	5	2
49	сих пор	3	2
50	могут быть	4	2
51	их и	2	2
52	его и	3	2
53	что он	25	2
54	вопроса о	3	2
55	в системе	4	2
56	до сих	3	2
57	что мы	4	2
58	же самое	4	2
59	с проблемой	2	2
60	могли бы	6	2
61	что все	6	2
62	этом отношении	5	2
63	в самом	4	2
64	не могут	4	2
65	по себе	7	2
66	одним из	2	2
67	ничего не	5	2
68	самом деле	3	2
69	что она	2	2
70	и является	3	2
71	что и	3	2
72	в его	11	2
73	между тем	3	2
74	таким образом	19	2
