N	2gram	Vinokur_Ku_1	StatiiOP
1	и в	24	29
2	том что	21	27
3	в том	30	27
4	в этом	14	21
5	но и	6	19
6	что в	17	19
7	не только	10	19
8	о том	9	17
9	что он	6	13
10	в его	12	13
11	между прочим	2	12
12	то что	9	11
13	все это	6	11
14	в которой	6	11
15	к тому	5	10
16	таким образом	12	10
17	т е	38	10
18	в своем	3	9
19	пушкин и	2	9
20	и т	33	9
21	так и	7	9
22	этом отношении	5	9
23	и не	12	9
24	как на	3	9
25	потому что	23	9
26	он не	2	9
27	и пр	15	8
28	как раз	8	8
29	но в	2	8
30	в г	3	7
31	но все	2	7
32	с тем	5	7
33	так например	2	7
34	в самом	10	7
35	в ней	6	7
36	в виду	5	7
37	в котором	3	7
38	я не	2	7
39	в своей	2	7
40	вместе с	7	7
41	тому что	3	7
42	того как	4	7
43	для того	16	7
44	не столько	2	7
45	в одном	3	6
46	вовсе не	10	6
47	вопрос о	2	6
48	до сих	4	6
49	одним из	2	6
50	все же	12	6
51	т д	14	6
52	и что	5	6
53	того чтобы	17	6
54	и его	5	6
55	и на	4	6
56	о чем	2	5
57	прежде всего	9	5
58	была бы	3	5
59	в той	5	5
60	в качестве	7	5
61	было бы	15	5
62	обратить внимание	2	5
63	как бы	7	5
64	сих пор	4	5
65	в языке	8	5
66	а не	8	5
67	того что	9	5
68	между тем	5	5
69	точки зрения	14	5
70	речь идет	2	4
71	до того	2	4
72	именно в	6	4
73	в частности	4	4
74	с другой	7	4
75	но с	2	4
76	разумеется что	2	4
77	не в	11	4
78	если б	2	4
79	хотя и	3	4
80	в нем	4	4
81	внимание на	4	4
82	то обстоятельство	8	4
83	в речи	3	4
84	ничего не	2	4
85	обстоятельство что	8	4
86	связи с	7	4
87	в значении	2	4
88	и с	5	4
89	своего времени	2	4
90	но также	2	4
91	в общем	3	3
92	не менее	7	3
93	что это	5	3
94	в этих	4	3
95	не является	2	3
96	это слово	3	3
97	оно не	3	3
98	с этим	4	3
99	на себя	3	3
100	по себе	2	3
101	идет о	2	3
102	ни в	2	3
103	не мог	2	3
104	у нас	10	3
105	меньше всего	2	3
106	так что	4	3
107	но не	5	3
108	до конца	2	3
109	например в	5	3
110	и именно	2	3
111	никогда не	2	3
112	и даже	3	3
113	всяком случае	5	3
114	из них	4	3
115	другой стороны	6	3
116	самом деле	9	3
117	как в	4	3
118	в их	3	3
119	т п	18	3
120	а с	3	3
121	не было	3	3
122	еще и	5	3
123	тем что	8	3
124	на самом	2	3
125	и он	3	3
126	ни одного	2	3
127	хотя бы	10	3
128	другое дело	2	3
129	так же	4	3
130	русского языка	9	3
131	во всяком	5	3
132	и здесь	3	3
133	xix века	5	3
134	больше всего	2	2
135	с его	4	2
136	и более	2	2
137	если бы	9	2
138	в них	7	2
139	что с	2	2
140	в какой	6	2
141	с этой	2	2
142	если не	3	2
143	в духе	3	2
144	не раз	2	2
145	как например	2	2
146	что было	2	2
147	той мере	5	2
148	в тех	4	2
149	что и	4	2
150	к своему	2	2
151	тем не	4	2
152	только потому	6	2
153	по существу	4	2
154	не потому	5	2
155	как и	2	2
156	и как	2	2
157	в этой	3	2
158	что я	2	2
159	что они	4	2
160	в истории	3	2
161	в москве	2	2
162	в то	2	2
163	очевидно что	3	2
164	в это	2	2
165	несмотря на	3	2
166	на его	3	2
167	может быть	13	2
168	только к	2	2
169	том же	2	2
170	никак не	2	2
171	и потому	4	2
172	на то	4	2
173	даже в	3	2
174	только в	11	2
175	ее в	2	2
176	также и	2	2
177	дело не	2	2
178	со стороны	4	2
179	или менее	3	2
180	не на	4	2
181	не может	7	2
182	тогда как	2	2
183	пишет он	2	2
184	в особенности	3	2
185	свидетельствуют о	2	2
186	то же	8	2
187	все эти	6	2
188	при этом	6	2
189	там где	4	2
190	они не	3	2
191	более или	3	2
192	что такое	6	2
193	на этот	2	2
194	не имеет	2	2
195	с точки	9	2
196	доказать что	2	2
197	в данном	4	2
198	в результате	5	2
199	мере в	6	2
200	языка в	12	2
201	в каком	2	2
202	для которых	2	2
203	в себе	3	2
204	так как	9	2
205	как это	3	2
206	того же	4	2
207	в области	7	2
208	в числе	2	2
209	это было	2	2
