N	2gram	Savitsky_P_1	Istorich
1	т е	3	29
2	и т	3	19
3	не только	17	18
4	может быть	5	17
5	и в	14	15
6	но и	6	14
7	что в	4	12
8	а в	4	12
9	то что	4	12
10	и не	12	11
11	в этом	10	11
12	то же	9	10
13	с тем	3	9
14	потому что	3	9
15	том что	4	7
16	и пр	5	7
17	в нем	3	7
18	не в	5	7
19	наряду с	3	6
20	в его	2	6
21	как бы	4	6
22	в том	9	6
23	только в	7	6
24	но в	9	6
25	и есть	2	5
26	с этим	2	5
27	прежде всего	3	5
28	было бы	6	5
29	в котором	4	5
30	не может	4	5
31	а не	2	5
32	в русской	4	5
33	с одной	3	4
34	для нас	2	4
35	в ней	6	4
36	не будем	2	4
37	и с	2	4
38	в себе	3	4
39	мы должны	4	4
40	в качестве	9	3
41	одной стороны	3	3
42	между прочим	2	3
43	все это	2	3
44	того что	2	3
45	мы не	3	3
46	что мы	3	3
47	и это	2	3
48	не было	2	2
49	могут быть	3	2
50	пути в	2	2
51	с другой	5	2
52	это не	3	2
53	не столько	2	2
54	в жизни	2	2
55	главным образом	2	2
56	в северной	2	2
57	да и	2	2
58	именно в	2	2
59	в силу	2	2
60	одна из	2	2
61	но не	3	2
62	и если	4	2
63	например в	2	2
64	а также	4	2
65	и пусть	2	2
66	хотя бы	8	2
67	из них	2	2
68	во всех	2	2
69	тем самым	3	2
70	к чему	2	2
71	с ними	3	2
72	в русском	2	2
73	в которых	5	2
74	в тот	2	2
75	в эту	2	2
