N	3gram	Tiupa_Hudo_2	Narrotol
1	в том что	11	8
2	в данном случае	2	6
3	не только в	2	6
4	по отношению к	7	5
5	с одной стороны	3	5
6	состоит в том	2	4
7	к тому же	2	4
8	тем не менее	3	4
9	о том что	7	4
10	в конечном счете	3	3
11	то же время	4	3
12	но при этом	3	3
13	в то же	4	3
14	в соответствии с	3	3
15	к тому что	4	3
16	того или иного	2	3
17	личной тайны в	5	2
18	тому что он	2	2
19	тогда как в	2	2
20	с точки зрения	2	2
21	не случайно в	2	2
22	с такою радостью	2	2
23	подобно тому как	4	2
24	не может быть	3	2
25	ему казалось что	2	2
26	свой пустой двор	2	2
27	не только не	2	2
28	ушел бы с	2	2
29	так же как	2	2
30	бы с такою	2	2
31	и т п	2	2
32	все те же	2	2
