N	3gram	Tiupa_Anal_1	TeoriaLi
1	по отношению к	5	8
2	в отличие от	6	7
3	то же время	6	6
4	в то же	8	6
5	в том что	9	6
6	в данном случае	2	5
7	не сводится к	2	5
8	того или иного	3	5
9	состоит в том	3	4
10	в конечном счете	4	4
11	той или иной	6	3
12	с другой стороны	2	3
13	в равной степени	2	2
14	и того же	2	2
15	одного и того	2	2
16	организации художественного текста	2	2
17	значении этого слова	6	2
18	мы имеем дело	4	2
19	тех или иных	2	2
20	с точки зрения	4	2
21	не может быть	16	2
22	в нашем случае	3	2
23	с одной стороны	3	2
24	факторов художественного впечатления	5	2
