N	2gram	Trubetskoy_1	Tragedij
1	и в	26	18
2	в этом	15	9
3	не только	10	8
4	и не	8	7
5	и на	2	7
6	и с	10	7
7	может быть	10	7
8	как бы	12	7
9	в образе	2	6
10	что он	4	6
11	же время	2	6
12	но в	7	6
13	все же	6	5
14	к жизни	5	5
15	что это	3	5
16	так и	6	5
17	не может	4	5
18	то же	4	5
19	в то	4	5
20	несмотря на	6	5
21	но и	9	4
22	то что	7	4
23	что в	9	4
24	все это	6	4
25	прежде всего	2	4
26	и все	2	4
27	в нем	4	4
28	и даже	3	4
29	так же	5	4
30	том что	7	4
31	в этой	4	4
32	и что	4	4
33	в себе	6	4
34	еще не	2	4
35	уже в	2	3
36	один из	2	3
37	в своем	3	3
38	в конце	6	3
39	все эти	6	3
40	и как	3	3
41	к нему	7	3
42	в его	5	3
43	для него	3	3
44	при этом	3	3
45	в мире	5	3
46	то есть	4	3
47	не имеет	5	2
48	не могут	2	2
49	что и	6	2
50	но при	2	2
51	что все	4	2
52	из своих	2	2
53	уже не	3	2
54	с его	2	2
55	отношение к	5	2
56	к тому	6	2
57	между этими	2	2
58	и здесь	2	2
59	в том	11	2
60	но все	7	2
61	так что	3	2
62	в таком	3	2
63	не в	2	2
64	в глазах	2	2
65	точно так	3	2
66	в русском	2	2
67	потому что	7	2
68	ничем не	4	2
69	с тем	18	2
70	в виде	4	2
71	о том	6	2
72	что эти	3	2
73	и это	2	2
74	в самом	4	2
75	этими двумя	2	2
76	он не	4	2
77	в одном	3	2
78	никогда не	5	2
