N	2gram	Berdyaev_V_1	Formalny
1	и в	16	38
2	в этом	4	27
3	и не	20	20
4	прежде всего	2	15
5	не в	3	15
6	и т	2	14
7	в нем	4	13
8	но и	5	13
9	с его	3	11
10	с тем	2	11
11	в том	3	11
12	в его	4	10
13	как и	4	9
14	не только	2	9
15	что и	3	8
16	так и	4	8
17	тем что	2	8
18	что в	3	7
19	не могут	2	7
20	для него	2	7
21	в своей	3	7
22	лишь в	3	7
23	уже не	2	7
24	не было	3	6
25	то что	9	6
26	в истории	8	6
27	в ней	4	6
28	все эти	3	6
29	а не	7	6
30	могут быть	2	6
31	только в	2	6
32	а в	2	6
33	хотя бы	3	6
34	в первый	3	5
35	должна быть	3	5
36	что он	4	5
37	во всех	3	5
38	т д	2	5
39	и для	3	5
40	говорить о	4	5
41	во всяком	2	5
42	оно не	3	4
43	и теперь	2	4
44	к тому	3	4
45	что они	7	4
46	как бы	5	4
47	что не	4	4
48	так как	9	4
49	но в	3	4
50	для них	2	3
51	то это	3	3
52	не есть	6	3
53	жизни и	3	3
54	все это	5	3
55	материалом для	2	3
56	того что	5	3
57	того чтобы	2	3
58	мы не	2	3
59	хотя и	5	3
60	и все	4	3
61	от этого	3	3
62	от этих	2	2
63	никогда не	3	2
64	по этому	3	2
65	в этих	3	2
66	тому что	3	2
67	это не	2	2
68	в конце	3	2
69	ее и	2	2
70	том что	2	2
71	но это	3	2
72	от него	2	2
73	но не	2	2
74	чтобы сделать	2	2
75	значения и	2	2
76	в котором	4	2
77	не так	2	2
78	один из	2	2
79	не будет	2	2
80	не к	2	2
81	ни в	3	2
82	а к	2	2
83	ее в	2	2
84	всего в	2	2
85	его не	2	2
86	превращается в	3	2
87	не имеет	3	2
88	должно быть	3	2
89	и то	2	2
90	их в	3	2
91	между тем	2	2
92	является в	2	2
93	и это	2	2
94	в чем	3	2
95	потому что	4	2
96	с ним	2	2
97	не могли	2	2
