N	2gram	Ircho_Kome_1	Istorich
1	и т	9	27
2	и в	22	26
3	т д	4	24
4	т е	13	18
5	так же	3	18
6	то что	2	16
7	не только	10	15
8	что в	6	14
9	может быть	9	14
10	же как	3	13
11	но и	11	12
12	что он	6	10
13	так и	5	10
14	таким образом	8	10
15	и его	8	10
16	что и	4	9
17	все же	3	9
18	и не	8	9
19	его в	3	9
20	так как	4	9
21	мы знаем	2	8
22	то же	6	8
23	а в	6	8
24	во время	5	7
25	как и	9	7
26	в качестве	4	7
27	он не	3	7
28	как в	5	7
29	в этом	3	7
30	что они	4	6
31	еще не	2	6
32	мы видели	2	6
33	вместе с	2	6
34	не может	2	6
35	к нему	2	6
36	потому что	5	6
37	мы можем	4	6
38	могут быть	3	6
39	у него	3	5
40	и как	3	5
41	в одном	8	5
42	к этому	4	5
43	в силу	2	5
44	но не	2	5
45	на нем	2	5
46	ничего не	3	5
47	в его	5	5
48	и у	3	5
49	до сих	2	5
50	сих пор	2	5
51	как мы	4	5
52	из которых	2	5
53	и по	6	5
54	не в	6	5
55	и с	3	5
56	тем что	4	5
57	и здесь	2	5
58	в другом	4	5
59	но в	4	5
60	с другой	5	4
61	на себя	2	4
62	вовсе не	2	4
63	вопрос о	3	4
64	в тех	3	4
65	все что	2	4
66	указывает на	2	4
67	в доме	2	4
68	даже в	3	4
69	другой стороны	5	4
70	так в	4	4
71	того как	3	4
72	и даже	5	4
73	но он	2	4
74	о том	8	4
75	только что	2	3
76	что у	2	3
77	в образе	3	3
78	же в	4	3
79	в том	11	3
80	том что	12	3
81	и других	7	3
82	но это	2	3
83	при этом	5	3
84	связанные с	2	3
85	на его	5	3
86	большей частью	2	3
87	относится к	2	3
88	а также	4	3
89	на то	3	3
90	наряду с	2	3
91	на него	4	3
92	и и	3	3
93	как это	3	3
94	не мог	3	3
95	или в	2	3
96	только в	3	3
97	е в	2	3
98	уже в	5	2
99	не менее	3	2
100	однако в	3	2
101	а сам	2	2
102	и во	2	2
103	и все	3	2
104	главным образом	3	2
105	и тем	2	2
106	тем не	2	2
107	ни в	6	2
108	в истории	5	2
109	одна из	2	2
110	от них	2	2
111	на этом	2	2
112	после того	3	2
113	было бы	2	2
114	такого рода	6	2
115	между прочим	2	2
116	у нас	3	2
117	в частности	3	2
118	видеть в	2	2
119	указывает что	2	2
120	хотя и	3	2
121	ни одной	2	2
122	по своей	2	2
123	в нем	4	2
124	в целом	3	2
125	не к	2	2
126	отношение к	3	2
127	из них	10	2
128	в форме	2	2
129	все это	5	2
130	подземного царства	4	2
131	в других	2	2
132	и вот	4	2
133	здесь мы	3	2
134	по свидетельству	2	2
135	к этим	3	2
136	право на	2	2
137	и на	3	2
138	в виде	3	2
139	известно что	4	2
140	в себе	2	2
141	же самое	2	2
142	в этой	7	2
143	тех же	2	2
144	в области	2	2
