N	2gram	Savitsky_P_1	Problemy
1	и не	12	31
2	и в	14	29
3	в его	2	24
4	может быть	5	24
5	а не	2	22
6	в этом	10	22
7	т е	3	21
8	как бы	4	19
9	в нем	3	19
10	точки зрения	3	19
11	не только	17	15
12	то что	4	15
13	но и	6	14
14	то же	9	14
15	в пределах	8	13
16	с точки	3	13
17	не может	4	12
18	в то	7	10
19	только в	7	10
20	это не	3	9
21	но не	3	9
22	же время	7	9
23	если бы	4	9
24	в своем	4	8
25	по себе	4	8
26	что в	4	8
27	потому что	3	8
28	в том	9	8
29	прежде всего	3	7
30	том что	4	7
31	не в	5	7
32	и как	3	7
33	а в	4	7
34	в себе	3	7
35	но в	9	7
36	все это	2	6
37	как раз	2	6
38	в мире	2	6
39	могут быть	3	6
40	и потому	4	6
41	именно в	2	5
42	было бы	6	5
43	и о	5	5
44	между тем	3	5
45	и это	2	5
46	и с	2	4
47	и т	3	4
48	не было	2	4
49	должно быть	2	4
50	в них	2	3
51	сами по	3	3
52	с другой	5	3
53	точек зрения	2	3
54	одна из	2	3
55	и пр	5	3
56	как на	2	3
57	например в	2	3
58	мы должны	4	3
59	отношении к	5	3
60	отношения к	2	3
61	друг другу	2	2
62	хотя бы	8	2
63	в жизни	2	2
64	и к	4	2
65	же в	4	2
66	тот же	3	2
67	никак не	2	2
68	не о	2	2
69	что из	2	2
70	в котором	4	2
71	начала и	2	2
72	во всей	2	2
73	в отношении	10	2
74	в смысле	6	2
75	слова но	2	2
76	в которых	5	2
77	в ней	6	2
78	на пути	4	2
79	и есть	2	2
80	в россии	3	2
81	с этим	2	2
