N	2gram	Bakhtin_Fr_5	VelikijI
1	и не	15	20
2	и в	45	16
3	свободы и	2	12
4	то что	2	9
5	так как	6	9
6	в истории	2	8
7	а не	4	7
8	хотя и	5	5
9	как бы	12	5
10	но и	10	5
11	все это	7	5
12	того что	3	5
13	и есть	2	4
14	что все	2	4
15	что он	6	4
16	в нем	10	4
17	как и	10	4
18	мира сего	2	4
19	так и	6	4
20	потому что	7	4
21	в этом	14	4
22	в ней	8	4
23	говорить о	2	4
24	и все	7	4
25	в его	13	4
26	с его	7	3
27	что в	12	3
28	в них	6	3
29	превращается в	2	3
30	в конце	7	3
31	ни в	3	3
32	в том	10	3
33	не в	7	3
34	но это	5	3
35	к тому	2	3
36	во всех	13	3
37	что и	7	3
38	жизни и	8	3
39	в своей	3	3
40	не было	3	3
41	лишь в	2	3
42	и что	2	3
43	не имеет	3	3
44	хотя бы	2	3
45	и для	3	3
46	от этого	2	3
47	все эти	5	3
48	в чем	2	3
49	но в	14	3
50	и вечно	2	2
51	не могут	2	2
52	с тем	2	2
53	это не	3	2
54	в духе	2	2
55	прежде всего	10	2
56	том что	7	2
57	но не	4	2
58	они и	2	2
59	конечно не	2	2
60	для него	3	2
61	для них	2	2
62	когда в	2	2
63	того чтобы	6	2
64	свободной и	2	2
65	и во	4	2
66	не только	14	2
67	нет и	2	2
68	один из	2	2
69	но мы	2	2
70	и за	2	2
71	на том	2	2
72	в себя	5	2
73	мы не	4	2
74	его не	4	2
75	а в	4	2
76	с ним	5	2
77	можно было	4	2
78	между тем	2	2
79	мир и	3	2
80	только в	4	2
81	и это	4	2
82	мы слышим	2	2
