N	2gram	Tiupa_Anal_3	Stilisti
1	и в	18	42
2	как бы	10	27
3	не только	22	27
4	и т.п	5	24
5	прежде всего	5	22
6	и т.д	2	20
7	но и	13	15
8	то же	3	15
9	и не	12	14
10	может быть	9	12
11	не может	2	12
12	точки зрения	3	11
13	как и	14	11
14	и как	4	10
15	что мы	2	10
16	отнюдь не	4	10
17	в этом	14	10
18	при этом	11	9
19	в то	3	9
20	то что	2	9
21	мы не	3	9
22	все же	4	8
23	в ней	2	8
24	таким образом	4	8
25	с тем	2	8
26	тем самым	4	8
27	в себе	2	8
28	никогда не	5	7
29	и от	2	7
30	же время	3	7
31	и на	4	7
32	с его	8	7
33	было бы	3	7
34	а не	9	7
35	и его	13	7
36	мы можем	2	7
37	только в	2	7
38	ничего не	3	7
39	или иной	5	6
40	не в	6	6
41	в этой	6	6
42	в свою	5	6
43	на его	2	6
44	в форме	2	6
45	в конце	5	6
46	когда мы	2	6
47	в нем	2	6
48	во всех	2	6
49	так и	14	6
50	уже в	3	5
51	и той	2	5
52	не является	5	5
53	те же	2	5
54	а в	10	5
55	как это	3	5
56	в его	7	5
57	вместе с	2	5
58	в той	2	5
59	с точки	2	5
60	той же	5	5
61	и без	3	4
62	в каждом	3	4
63	можно сказать	4	4
64	к тому	6	4
65	свою очередь	4	4
66	о своей	2	4
67	в качестве	12	4
68	в самом	5	4
69	той или	3	4
70	один из	2	4
71	все это	3	4
72	о том	6	4
73	его в	3	4
74	но в	2	4
75	были бы	3	4
76	и к	4	4
77	с появлением	2	4
78	себя в	4	4
79	уже не	5	4
80	самом деле	2	4
81	в слове	5	4
82	то есть	10	4
83	вопроса о	2	4
84	так сказать	2	4
85	перед нами	4	3
86	это не	2	3
87	не мог	2	3
88	хотя и	2	3
89	в целом	3	3
90	высказывания как	2	3
91	во второй	7	3
92	и вот	2	3
93	лишь в	5	3
94	и даже	8	3
95	нуждается в	2	3
96	сказать что	2	3
97	и здесь	2	3
98	в начале	6	3
99	всякое высказывание	2	3
100	и все	2	3
101	в одном	4	3
102	этого слова	2	3
103	об этом	2	3
104	в ее	3	3
105	том что	12	3
106	в тех	2	3
107	еще не	6	3
108	о своем	2	3
109	что и	5	3
110	не будет	3	3
111	отношения к	2	3
112	да и	2	3
113	и для	2	3
114	роль в	3	3
115	ответ на	3	3
116	художественного высказывания	2	2
117	бы и	2	2
118	в частности	12	2
119	не всегда	3	2
120	как уже	2	2
121	в мире	5	2
122	в том	9	2
123	тому же	3	2
124	тот или	2	2
125	иметь дело	2	2
126	очевидно что	2	2
127	для него	6	2
128	в пределах	4	2
129	и сам	4	2
130	несмотря на	2	2
131	значительной степени	2	2
132	не с	2	2
133	в первой	8	2
134	не было	3	2
135	этом отношении	3	2
136	еще и	3	2
137	все эти	2	2
138	его не	3	2
139	по своей	2	2
140	мы имеем	5	2
141	я и	3	2
142	в жизни	2	2
143	для всех	2	2
144	однако в	5	2
145	с этим	3	2
146	к этому	3	2
147	не должно	3	2
148	что он	4	2
149	есть не	2	2
150	не должен	2	2
151	представляет собой	5	2
152	но не	7	2
153	по своему	2	2
154	и потому	2	2
155	гораздо более	2	2
156	и ситуации	2	2
157	не есть	4	2
158	связь с	2	2
159	как в	3	2
160	здесь не	3	2
161	ли не	4	2
162	одной и	2	2
163	в значительной	2	2
164	на наш	2	2
165	и он	2	2
166	в дальнейшем	2	2
167	тем что	2	2
