N	3gram	Vinokur_Ku_3	Myslijsy
1	по отношению к	2	8
2	в том что	8	7
3	до тех пор	4	6
4	о том что	3	5
5	в этом случае	4	5
6	не может быть	3	5
7	только тогда когда	4	4
8	и в этом	4	4
9	тем не менее	9	4
10	до сих пор	8	4
11	сам по себе	3	4
12	и т п	41	4
13	для того чтобы	11	4
14	с точки зрения	16	3
15	и т д	8	3
16	в том случае	4	3
17	на самом деле	3	3
18	потому что в	2	3
19	от того что	2	3
20	в данном случае	4	2
21	тех пор пока	4	2
22	в таком случае	2	2
23	не могут быть	2	2
24	один и тот	2	2
25	потому что как	3	2
26	не в том	2	2
27	что и в	2	2
28	и тот же	2	2
29	после того как	4	2
30	если бы не	2	2
31	только в том	2	2
