N	2gram	Vinokur_St_3	Literetu
1	а не	5	20
2	и в	25	19
3	может быть	19	17
4	в стихотворении	3	13
5	своего рода	3	13
6	то же	5	12
7	и не	10	11
8	в том	20	10
9	как и	4	10
10	но и	9	10
11	состоит в	4	9
12	же время	3	9
13	такого рода	5	9
14	не может	7	9
15	в этом	24	9
16	в то	7	9
17	в стихах	2	8
18	с другой	5	8
19	не только	12	8
20	том что	15	7
21	то что	12	7
22	так и	5	7
23	с одной	2	7
24	не менее	2	6
25	одной стороны	3	6
26	и на	6	6
27	у нас	4	5
28	одна из	2	5
29	но не	2	5
30	в качестве	4	5
31	он не	5	5
32	вместе с	2	5
33	в году	5	5
34	того что	5	5
35	то есть	2	5
36	в рамках	2	4
37	что в	19	4
38	прежде всего	10	4
39	не в	6	4
40	того же	2	4
41	для него	3	4
42	в ней	4	4
43	в его	12	4
44	один из	2	4
45	и других	2	4
46	так что	11	4
47	другой стороны	5	4
48	мы не	2	4
49	тем что	19	4
50	точки зрения	7	4
51	в русской	6	4
52	в области	6	4
53	я и	3	4
54	обращается к	3	3
55	никогда не	2	3
56	в поэзии	2	3
57	что он	19	3
58	русской поэзии	2	3
59	но это	4	3
60	в начале	4	3
61	такой же	2	3
62	в этой	14	3
63	в сущности	2	3
64	во всех	2	3
65	том чтобы	2	3
66	речь идет	2	3
67	и др	4	3
68	со стороны	3	3
69	в их	3	3
70	то и	2	3
71	и для	4	3
72	этом отношении	4	3
73	как я	2	3
74	так как	3	3
75	с точки	4	3
76	как на	6	3
77	а в	6	3
78	и его	3	3
79	не столько	2	3
80	и с	4	3
81	х годов	2	3
82	в другом	3	3
83	ничего не	4	3
84	на этом	3	2
85	уже в	3	2
86	не было	4	2
87	с тем	4	2
88	у него	9	2
89	себя и	2	2
90	не является	3	2
91	для этого	2	2
92	в них	5	2
93	в какой	3	2
94	с этой	3	2
95	по крайней	4	2
96	в конце	6	2
97	в виду	2	2
98	в жизни	4	2
99	в каждом	4	2
100	вовсе не	2	2
101	в такой	2	2
102	и к	4	2
103	а также	4	2
104	о которой	2	2
105	крайней мере	4	2
106	тем не	2	2
107	разумеется не	2	2
108	до конца	3	2
109	еще не	2	2
110	было бы	7	2
111	нет в	3	2
112	не так	3	2
113	одной из	2	2
114	при всей	2	2
115	как бы	6	2
116	если в	2	2
117	все же	4	2
118	с ее	2	2
119	и т	8	2
120	в целом	4	2
121	могут быть	2	2
122	и за	2	2
123	как раз	3	2
124	т п	6	2
125	и только	2	2
126	быть не	2	2
127	той же	2	2
128	а потому	2	2
129	уже не	3	2
130	и что	3	2
131	для того	2	2
132	что не	2	2
133	из которых	4	2
134	и наконец	3	2
135	в своих	8	2
136	в русском	2	2
137	то в	4	2
138	в результате	2	2
139	потому что	5	2
140	одно из	2	2
141	он и	2	2
142	но как	2	2
143	что я	3	2
144	о том	8	2
145	в россии	6	2
146	к этой	2	2
147	в каждой	2	2
148	но в	5	2
