N	2gram	Trubetskoy_1	Marksizm
1	может быть	9	28
2	и в	14	19
3	как бы	4	19
4	и не	19	19
5	не может	22	18
6	точки зрения	11	17
7	то же	11	16
8	в этом	17	15
9	таким образом	11	14
10	лишь в	3	14
11	не только	9	13
12	с точки	9	13
13	связи с	3	13
14	в нем	5	11
15	если бы	6	11
16	не в	4	10
17	но и	10	10
18	том что	9	10
19	для него	6	9
20	при этом	5	9
21	как и	4	9
22	на почве	2	9
23	самом деле	7	9
24	а не	2	9
25	отнюдь не	7	8
26	же время	10	8
27	по отношению	2	8
28	в то	10	8
29	только в	5	8
30	никогда не	5	7
31	в том	17	7
32	его в	4	7
33	но в	2	7
34	и более	2	7
35	прежде всего	8	7
36	одна из	3	7
37	на самом	6	7
38	и для	6	7
39	в таком	2	7
40	к тому	7	6
41	ни в	2	6
42	и как	3	6
43	того чтобы	8	6
44	в самом	3	6
45	между тем	5	6
46	мы уже	2	6
47	во всех	5	6
48	быть и	2	6
49	– не	2	6
50	для того	6	6
51	хотя бы	5	6
52	мы можем	2	6
53	то ни	4	5
54	в большинстве	3	5
55	или иной	5	5
56	является не	2	5
57	к нему	2	5
58	на этой	2	5
59	в их	4	5
60	так же	2	5
61	и на	5	5
62	большинстве случаев	2	5
63	совершенно не	2	5
64	в его	4	5
65	все же	4	5
66	в данном	7	5
67	отношении к	2	5
68	должна быть	2	4
69	тому что	2	4
70	на то	5	4
71	той или	3	4
72	то что	13	4
73	и тем	2	4
74	бы то	4	4
75	того что	3	4
76	что он	6	4
77	было бы	5	4
78	конечно не	5	4
79	для себя	2	4
80	только на	2	4
81	в себе	9	4
82	и т.д	4	4
83	в этих	2	3
84	и от	2	3
85	да и	3	3
86	в этой	4	3
87	в ней	2	3
88	в котором	2	3
89	его и	2	3
90	а в	5	3
91	с этим	2	3
92	что оно	3	3
93	все эти	2	3
94	в другом	3	3
95	должно быть	3	3
96	не было	3	3
97	о том	7	3
98	так как	4	3
99	по себе	2	3
100	в качестве	3	3
101	до сих	5	3
102	еще не	3	3
103	одной из	3	3
104	не к	2	3
105	в корне	4	3
106	он не	5	3
107	что и	3	3
108	не есть	3	3
109	не будет	7	3
110	в своей	5	3
111	и то	4	3
112	во всяком	9	3
113	сих пор	5	3
114	место в	2	2
115	что в	4	2
116	что это	3	2
117	точку зрения	4	2
118	вопрос о	5	2
119	следовательно и	2	2
120	что они	3	2
121	более или	4	2
122	лишь при	5	2
123	не так	2	2
124	всяком случае	6	2
125	жизни и	4	2
126	в своем	6	2
127	отношения к	2	2
128	именно в	3	2
129	и даже	2	2
130	друг друга	3	2
131	как на	8	2
132	но для	2	2
133	и с	7	2
134	даже и	2	2
135	и является	2	2
136	в начале	2	2
137	того или	2	2
138	у него	2	2
139	т.е к	2	2
140	или иного	2	2
141	будет ли	2	2
142	исторической роли	2	2
143	но не	4	2
144	ли это	4	2
145	и о	2	2
146	и потому	3	2
147	себя в	4	2
148	или менее	4	2
149	приводит к	4	2
150	и тогда	2	2
151	всем этим	2	2
152	а с	2	2
153	сводится к	3	2
154	в значительной	3	2
155	ко всем	3	2
156	чтобы понять	2	2
157	или в	3	2
158	тем что	3	2
159	в виде	3	2
160	если же	2	2
161	только с	2	2
162	от него	2	2
163	вместе с	4	2
