N	2gram	Tiupa_Anal_1	Russkaja
1	не может	22	22
2	и не	21	19
3	в том	27	17
4	в этом	13	17
5	и в	18	14
6	то что	6	13
7	самим собой	2	12
8	таким образом	3	11
9	то же	9	11
10	точки зрения	6	11
11	же время	6	10
12	но и	17	10
13	в то	9	10
14	том что	12	9
15	не только	15	9
16	в себе	11	9
17	с точки	4	9
18	может быть	29	9
19	прежде всего	6	8
20	того чтобы	3	8
21	отнюдь не	15	7
22	к тому	7	7
23	не будет	3	7
24	самом деле	2	7
25	в данном	2	7
26	о том	5	7
27	и с	2	7
28	если бы	3	6
29	на самом	2	6
30	что он	3	6
31	и к	3	6
32	для него	2	6
33	для того	4	6
34	если в	3	6
35	себя и	4	5
36	между собой	2	5
37	хотя бы	3	5
38	вопрос о	2	5
39	и на	5	5
40	или иной	6	5
41	при этом	12	5
42	лишь при	4	5
43	было бы	2	5
44	в своей	6	5
45	он не	3	5
46	никогда не	2	5
47	в нем	3	5
48	из которых	4	5
49	а в	9	5
50	потому что	2	5
51	только в	6	5
52	между тем	5	5
53	но не	10	4
54	не могут	3	4
55	что в	5	4
56	то ни	3	4
57	тогда когда	2	4
58	в мире	8	4
59	как и	13	4
60	как бы	5	4
61	все же	4	4
62	себя в	6	4
63	бы то	3	4
64	вместе с	4	4
65	со стороны	2	4
66	что же	2	4
67	в их	5	4
68	не в	14	4
69	и то	2	4
70	в этой	5	4
71	в его	13	4
72	так как	2	4
73	именно в	4	3
74	из этих	2	3
75	и как	5	3
76	в другом	4	3
77	то в	2	3
78	лишь в	5	3
79	должно быть	2	3
80	в качестве	31	3
81	еще не	3	3
82	несмотря на	2	3
83	в самом	6	3
84	том чтобы	7	3
85	той или	6	3
86	и потому	2	3
87	для этого	2	3
88	что и	3	3
89	не есть	8	3
90	и т	3	3
91	из них	2	3
92	данном случае	2	3
93	сводится к	5	3
94	того что	4	3
95	и по	2	3
96	культуры в	2	3
97	она может	3	3
98	в сознании	2	3
99	место в	3	2
100	только для	2	2
101	а с	3	2
102	одному из	2	2
103	и более	4	2
104	и есть	3	2
105	в частности	19	2
106	его и	2	2
107	взгляде на	2	2
108	состоит в	11	2
109	или иного	3	2
110	по себе	4	2
111	бы ни	2	2
112	том и	2	2
113	не должен	2	2
114	ни в	4	2
115	уже не	4	2
116	отличается от	2	2
117	и о	2	2
118	и является	2	2
119	в котором	3	2
120	для себя	2	2
121	не к	2	2
122	и тогда	2	2
123	по отношению	6	2
124	тогда как	14	2
125	отношения к	2	2
126	все эти	2	2
127	и состоит	5	2
128	не просто	2	2
129	тем самым	7	2
130	а не	17	2
131	к нему	3	2
132	в таком	3	2
133	в силу	3	2
134	не о	2	2
135	на себя	2	2
136	в начале	2	2
137	говоря о	2	2
138	того или	3	2
139	как будто	3	2
140	с ним	4	2
141	в области	4	2
142	но в	8	2
