N	2gram	Propp_Russ_2	TeoriaLi
1	не только	10	18
2	в качестве	3	17
3	тогда как	2	16
4	а в	9	14
5	и в	29	13
6	состоит в	15	13
7	может быть	13	12
8	представляет собой	2	11
9	при этом	6	11
10	в этом	11	11
11	в том	22	11
12	но не	5	10
13	а не	4	10
14	то же	4	9
15	что в	22	8
16	но и	8	8
17	том что	22	7
18	в отличие	3	7
19	в данном	6	7
20	в то	2	7
21	как это	4	7
22	отличие от	3	7
23	еще не	6	6
24	как бы	18	6
25	но в	5	6
26	а также	4	5
27	в ее	3	5
28	как и	11	5
29	не в	4	5
30	данном случае	7	5
31	как в	7	5
32	а а	8	5
33	уже не	4	5
34	с другой	2	5
35	между тем	3	5
36	мы имеем	6	5
37	не менее	2	4
38	не столько	2	4
39	за пределами	2	4
40	в своей	2	4
41	то что	5	4
42	в форме	2	4
43	в их	2	4
44	не может	5	4
45	но он	3	4
46	и ее	2	4
47	а и	2	4
48	никогда не	2	3
49	в этих	3	3
50	прежде всего	2	3
51	тем не	2	3
52	того что	3	3
53	не все	4	3
54	на две	2	3
55	так в	2	3
56	таким образом	6	3
57	а с	2	3
58	именно в	4	3
59	и что	5	3
60	и по	3	3
61	или в	7	3
62	и то	2	3
63	потому что	5	3
64	в этой	3	3
65	его в	8	3
66	все эти	3	3
67	о чем	4	2
68	могут быть	2	2
69	между собой	2	2
70	жизни в	2	2
71	это не	5	2
72	ногами и	2	2
73	об этом	2	2
74	и как	2	2
75	одной стороны	2	2
76	а на	9	2
77	в глаза	2	2
78	из которых	2	2
79	здесь мы	2	2
80	в виду	2	2
81	к жизни	5	2
82	к числу	2	2
83	не с	2	2
84	к нему	4	2
85	во всех	3	2
86	вместе с	6	2
87	дело не	2	2
88	но она	2	2
89	а именно	3	2
90	и для	2	2
91	с одной	2	2
92	это и	2	2
93	в году	3	2
94	и о	3	2
95	так же	4	2
96	право на	2	2
97	их в	4	2
98	вокруг него	2	2
99	на себя	2	2
100	о том	9	2
101	в которой	2	2
102	в состав	2	2
