N	2gram	Tiupa_Anal_1	VLabPisa
1	таким образом	3	27
2	в этом	13	26
3	и в	18	25
4	и т	3	24
5	не только	15	22
6	может быть	29	21
7	хотя бы	3	20
8	и не	21	19
9	художественного творчества	2	18
10	не может	22	17
11	в его	13	15
12	в процессе	2	14
13	прежде всего	6	13
14	в том	27	13
15	этом отношении	2	13
16	в частности	19	12
17	с другой	4	11
18	в силу	3	11
19	из них	2	11
20	не могут	3	10
21	представляет собою	2	10
22	в качестве	31	10
23	о том	5	10
24	в художественном	3	10
25	что в	5	9
26	для него	2	9
27	но и	17	9
28	то же	9	9
29	т п	3	9
30	говорит и	2	8
31	все эти	2	8
32	другой стороны	2	8
33	могут быть	4	8
34	не следует	4	8
35	произведения в	11	7
36	из этих	2	7
37	как и	13	7
38	том что	12	7
39	было бы	2	7
40	в конечном	4	7
41	отношению к	5	7
42	вместе с	4	7
43	по отношению	6	7
44	а не	17	7
45	это не	6	6
46	художественного произведения	5	6
47	в себе	11	6
48	то что	6	6
49	художественное творчество	2	6
50	в нем	3	6
51	так и	4	6
52	и его	5	6
53	между тем	5	6
54	в то	9	6
55	же время	6	5
56	конечном счете	4	5
57	все же	4	5
58	как говорит	2	5
59	в пределах	2	5
60	и есть	3	5
61	в искусстве	2	5
62	одним из	3	5
63	как бы	5	5
64	один из	2	5
65	в их	5	5
66	на основе	2	5
67	только в	6	5
68	не в	14	5
69	не является	2	5
70	произведения как	7	5
71	к тому	7	4
72	никогда не	2	4
73	в целом	5	4
74	что он	3	4
75	с его	3	4
76	можно сказать	2	4
77	в своей	6	4
78	в самом	6	4
79	даже в	3	4
80	должен быть	6	4
81	художественное произведение	5	4
82	в этой	5	4
83	в противоположность	2	3
84	и к	3	3
85	и как	5	3
86	или меньшей	4	3
87	различного рода	2	3
88	большей или	4	3
89	писал в	2	3
90	что не	3	3
91	далеко не	6	3
92	в котором	3	3
93	нет и	2	3
94	что и	3	3
95	именно в	4	3
96	сводится к	5	3
97	того что	4	3
98	и по	2	3
99	точки зрения	6	3
100	данного произведения	3	3
101	всего лишь	4	3
102	образом не	2	2
103	на вопрос	4	2
104	в творческом	2	2
105	том числе	3	2
106	только не	2	2
107	отличается от	2	2
108	не всегда	4	2
109	вовсе не	2	2
110	а как	2	2
111	роль в	2	2
112	по себе	4	2
113	и заключается	2	2
114	или иной	6	2
115	и потому	2	2
116	но не	10	2
117	как известно	3	2
118	еще не	3	2
119	одной стороны	3	2
120	мысль о	2	2
121	же самое	2	2
122	для того	4	2
123	если бы	3	2
124	мы имеем	6	2
125	том чтобы	7	2
126	ни с	3	2
127	понимать как	2	2
128	отнюдь не	15	2
129	если в	3	2
130	при помощи	2	2
131	он может	2	2
132	но к	2	2
133	бы не	2	2
134	а в	9	2
135	с одной	3	2
136	при всей	2	2
137	того чтобы	3	2
138	из которых	4	2
139	с другими	4	2
140	тому как	3	2
141	не столько	2	2
142	также и	2	2
143	лишь в	5	2
144	не о	2	2
145	он не	3	2
146	и просто	2	2
147	подобно тому	3	2
148	в другом	4	2
149	что мы	3	2
150	того или	3	2
151	будто бы	3	2
152	как он	3	2
153	которые в	2	2
154	в которой	2	2
155	в области	4	2
156	тогда когда	2	2
157	в сознании	2	2
158	но в	8	2
159	как от	2	2
