N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	56
2	в его	7	18
3	все эти	4	15
4	в этом	12	14
5	в том	5	13
6	так и	2	13
7	и его	4	12
8	он был	8	12
9	в этих	3	11
10	до конца	7	11
11	как бы	3	11
12	еще не	3	10
13	в самом	5	9
14	но и	13	9
15	и не	13	9
16	том что	2	8
17	не только	11	8
18	в нем	10	8
19	все это	6	8
20	и с	2	8
21	у него	22	7
22	и на	2	7
23	прежде всего	9	6
24	в ее	2	6
25	в этой	5	6
26	потому что	9	6
27	и все	10	6
28	но в	2	6
29	с его	4	5
30	никогда не	9	5
31	ни с	7	5
32	как и	6	5
33	он не	7	5
34	что в	4	5
35	не было	9	5
36	в творчестве	5	5
37	что все	2	4
38	и ее	3	4
39	в себе	3	4
40	и к	2	4
41	и потому	2	4
42	того чтобы	4	4
43	в своих	3	4
44	о том	3	4
45	так как	2	4
46	в которой	2	4
47	в своем	2	3
48	так что	2	3
49	может быть	11	3
50	и о	2	3
51	что и	2	3
52	то что	5	3
53	что для	2	3
54	не в	11	3
55	сказать что	2	3
56	но он	7	3
57	в другом	2	3
58	это не	3	2
59	уже в	2	2
60	в других	2	2
61	человека и	10	2
62	к этому	2	2
63	что он	3	2
64	совсем не	2	2
65	момент в	2	2
66	для него	5	2
67	было бы	3	2
68	а в	5	2
69	хотя и	2	2
70	все же	2	2
71	в своей	2	2
72	когда он	3	2
73	не может	4	2
74	как к	2	2
75	а не	11	2
76	для того	3	2
77	к нему	3	2
78	и для	2	2
79	его в	2	2
80	и то	2	2
81	ничто не	2	2
82	что они	2	2
83	с тем	2	2
84	с ним	3	2
85	не могли	2	2
