N	3gram	Vygotskiy__2	StatiiOP
1	в том что	17	11
2	и т п	8	6
3	не может быть	8	5
4	с другой стороны	2	4
5	в то время	3	4
6	в этом отношении	5	4
7	во всяком случае	2	4
8	с точки зрения	10	4
9	то время как	2	4
10	о том что	4	4
11	в конце концов	3	3
12	то же время	2	3
13	состоит в том	2	3
14	на то что	6	3
15	в то же	2	3
16	не в том	2	3
17	с тем что	3	3
18	все более и	2	2
19	к тому что	2	2
20	что в этой	2	2
21	до сих пор	5	2
22	в том чтобы	3	2
23	в этой области	2	2
24	и т д	2	2
25	тем не менее	4	2
26	заключается в том	10	2
27	более и более	2	2
