N	2gram	Vygotskiy__4	Psycholo
1	то что	15	32
2	и в	20	31
3	в том	42	30
4	что в	19	23
5	может быть	12	22
6	таким образом	25	20
7	ясно что	2	19
8	при этом	12	19
9	так как	10	18
10	не может	6	17
11	как и	9	16
12	том что	35	16
13	и не	8	16
14	точки зрения	24	15
15	только в	10	14
16	а не	7	13
17	не только	15	13
18	что и	9	13
19	так же	11	12
20	если мы	10	12
21	в этом	24	12
22	в самом	6	11
23	с таким	3	11
24	могут быть	7	11
25	не в	4	11
26	в области	4	11
27	на то	5	10
28	в сущности	4	10
29	того что	10	10
30	потому что	12	10
31	ни в	3	9
32	как в	5	9
33	самом деле	7	9
34	никогда не	5	8
35	вместе с	8	8
36	и что	8	8
37	во всяком	4	8
38	что мы	7	8
39	что он	6	7
40	том чтобы	2	7
41	и его	5	7
42	заключается в	18	7
43	того чтобы	7	7
44	тому как	2	7
45	сказать что	6	7
46	о том	5	7
47	что это	2	6
48	этой теории	4	6
49	зависимости от	2	6
50	одной стороны	9	6
51	было бы	8	6
52	если бы	5	6
53	из этих	2	6
54	вслед за	2	6
55	всяком случае	3	6
56	отнюдь не	3	6
57	целый ряд	5	6
58	а в	2	6
59	для того	5	6
60	в его	11	6
61	формы и	3	5
62	тогда когда	8	5
63	этой точки	4	5
64	не является	5	5
65	показывает что	2	5
66	все же	5	5
67	так что	3	5
68	мы видим	10	5
69	с одной	9	5
70	для нас	4	5
71	говорит что	3	5
72	совершенно не	3	5
73	в какой	3	5
74	как бы	7	5
75	в целом	11	5
76	в процессе	27	5
77	другой стороны	9	5
78	и для	4	5
79	то же	16	5
80	с другой	12	5
81	подобно тому	2	5
82	что всякое	2	5
83	к тому	6	4
84	в которой	3	4
85	все время	4	4
86	и другие	9	4
87	в виду	3	4
88	прежде всего	2	4
89	тому что	4	4
90	столь же	3	4
91	одной и	5	4
92	очень часто	2	4
93	различие между	3	4
94	в себе	10	4
95	указывает на	2	4
96	отличие от	2	4
97	по существу	3	4
98	же как	6	4
99	у него	2	4
100	со всеми	3	4
101	никак не	2	4
102	один из	3	4
103	в этих	3	4
104	со стороны	3	4
105	к этому	4	4
106	в совершенно	3	4
107	те же	6	4
108	и у	2	4
109	с этой	4	4
110	в результате	8	4
111	мы можем	5	4
112	этого слова	11	4
113	между тем	9	4
114	как это	9	4
115	мы имеем	2	4
116	под влиянием	2	3
117	уже в	6	3
118	не могут	3	3
119	нашего исследования	4	3
120	с тем	6	3
121	только не	5	3
122	состоит в	4	3
123	в частности	5	3
124	к которым	2	3
125	в своем	4	3
126	точно так	3	3
127	что все	3	3
128	в каждом	2	3
129	должна быть	2	3
130	представить себе	2	3
131	в собственном	7	3
132	стороны и	2	3
133	и другой	3	3
134	и к	5	3
135	что на	2	3
136	тому же	6	3
137	в силу	6	3
138	но не	3	3
139	для объяснения	2	3
140	противоречие с	2	3
141	в этой	3	3
142	в слове	2	3
143	и когда	3	3
144	с психологической	2	3
145	речь идет	5	3
146	не есть	2	3
147	в своей	7	3
148	и той	4	3
149	собственном смысле	7	3
150	так и	5	3
151	что при	2	3
152	только на	2	3
153	в отличие	2	3
154	мышления и	14	3
155	что оно	4	3
156	и других	3	3
157	от того	3	3
158	тем же	4	3
159	той же	6	3
160	роль в	4	3
161	почти всегда	3	3
162	в таком	2	3
163	и только	4	3
164	с этим	5	3
165	слова в	9	3
166	во всем	3	3
167	может стать	2	3
168	что эти	2	3
169	и это	2	3
170	что эта	3	3
171	когда мы	2	3
172	на деле	3	3
173	но в	3	3
174	в основе	17	2
175	в известном	2	2
176	не менее	3	2
177	такой же	2	2
178	видели что	2	2
179	уже и	2	2
180	в одинаковой	2	2
181	этом смысле	8	2
182	в другой	2	2
183	и как	9	2
184	не означает	3	2
185	целом ряде	2	2
186	и во	3	2
187	и от	3	2
188	одного и	6	2
189	это в	2	2
190	в основу	2	2
191	на место	3	2
192	и здесь	2	2
193	между процессами	3	2
194	когда оно	2	2
195	смысле этого	7	2
196	а только	3	2
197	остановиться на	2	2
198	мы найдем	2	2
199	совершенно другим	2	2
200	этого вопроса	2	2
201	представляет собой	3	2
202	что они	14	2
203	что здесь	2	2
204	в качестве	21	2
205	того же	9	2
206	но что	3	2
207	это мы	2	2
208	от других	2	2
209	настоящее время	2	2
210	что с	4	2
211	тот же	9	2
212	случае не	2	2
213	и тот	7	2
214	совершенно прав	3	2
215	на один	4	2
216	что такое	5	2
217	видим что	2	2
218	том же	2	2
219	далеко не	2	2
220	в него	2	2
221	даже в	2	2
222	что те	2	2
223	и тем	8	2
224	в нем	2	2
225	мы видели	6	2
226	как говорит	2	2
227	в противоречие	2	2
228	из них	4	2
229	когда он	3	2
230	но и	9	2
231	в мышлении	21	2
232	мысли и	2	2
233	приводит к	3	2
234	и тогда	2	2
235	как мы	13	2
236	только что	4	2
237	отличается от	2	2
238	в связи	3	2
239	по мнению	2	2
240	в настоящее	2	2
241	слова то	3	2
242	этом отношении	7	2
243	же самое	7	2
244	этой области	2	2
245	идет о	3	2
246	иначе как	2	2
247	на основе	10	2
248	тем самым	7	2
249	к нему	2	2
250	с точки	11	2
251	отношений и	3	2
252	увидим что	5	2
253	в чем	3	2
254	нас в	3	2
255	как они	4	2
256	их в	2	2
257	и с	4	2
258	понятий и	9	2
259	в каком	2	2
260	приходит к	3	2
261	но как	2	2
262	в сознании	4	2
263	что следовательно	2	2
264	и то	10	2
265	бы в	3	2
266	ту же	2	2
267	его в	6	2
268	как он	4	2
269	одинаковой мере	2	2
270	и поэтому	3	2
271	сходство с	4	2
