N	2gram	Berdyaev_N_1	Problema
1	и в	16	44
2	и не	11	35
3	не есть	3	35
4	может быть	7	28
5	потому что	4	25
6	то что	4	23
7	в том	8	21
8	а не	17	18
9	в этом	7	17
10	сказать что	3	16
11	когда мы	2	15
12	и даже	2	14
13	не только	5	14
14	не в	6	13
15	но в	2	12
16	том что	2	12
17	не менее	4	10
18	но и	3	10
19	как и	7	10
20	так и	2	10
21	это не	4	9
22	и от	2	9
23	в нем	5	9
24	не имеет	4	9
25	и с	2	9
26	в то	2	9
27	и это	2	9
28	что в	9	8
29	ни в	6	8
30	смысле слова	3	8
31	но это	6	8
32	он не	8	8
33	в себе	2	8
34	с другой	3	7
35	не может	16	7
36	уже не	2	7
37	все эти	2	7
38	и что	2	7
39	это и	2	7
40	и потому	4	7
41	мы не	2	7
42	значит что	4	7
43	никогда не	6	6
44	для этого	2	6
45	такого рода	2	6
46	жизни и	8	6
47	и к	5	6
48	о том	4	6
49	не было	4	5
50	с тем	3	5
51	и есть	10	5
52	хотя и	2	5
53	в ней	5	5
54	другой стороны	2	5
55	все это	5	5
56	а в	2	5
57	еще не	3	5
58	за пределы	3	5
59	в своей	3	5
60	как в	3	5
61	так же	2	5
62	не имеют	2	4
63	время как	2	4
64	в ее	3	4
65	можно было	2	4
66	мы говорим	2	4
67	же как	2	3
68	формы и	2	3
69	прежде всего	4	3
70	к тому	3	3
71	это есть	7	3
72	ни к	2	3
73	но не	2	3
74	она не	3	3
75	не значит	3	3
76	и все	4	3
77	что такое	3	3
78	хотя бы	2	3
79	как будто	2	3
80	есть в	2	3
81	все они	2	2
82	что все	2	2
83	не будут	2	2
84	совсем не	12	2
85	с ее	5	2
86	для чего	2	2
87	с одной	2	2
88	будет уже	2	2
89	в основе	3	2
90	с этим	2	2
91	как это	2	2
92	если нет	2	2
93	быть в	2	2
94	по существу	2	2
95	по своему	4	2
96	с их	2	2
97	во всех	3	2
98	себя в	2	2
99	вернуться к	2	2
100	вместе с	2	2
101	в природе	2	2
102	который в	2	2
103	и для	4	2
104	от всякого	2	2
105	могут быть	2	2
106	и общества	2	2
107	это было	3	2
