N	2gram	Potebnia_M_1	formyVre
1	и в	39	50
2	то есть	42	33
3	в этом	15	25
4	в нем	20	24
5	и его	5	16
6	прежде всего	4	15
7	и не	18	14
8	как мы	2	14
9	вовсе не	5	13
10	в его	5	13
11	так и	13	12
12	может быть	27	11
13	таким образом	13	11
14	то же	6	11
15	и как	6	10
16	времени и	2	10
17	но в	9	10
18	в том	26	9
19	же время	4	9
20	в других	2	9
21	в то	4	9
22	не только	21	9
23	в самом	3	8
24	и т	6	8
25	и их	3	8
26	но и	20	8
27	как и	9	8
28	того же	3	8
29	жизни и	2	8
30	т п	4	8
31	не было	4	7
32	и во	3	7
33	для себя	3	7
34	так сказать	2	7
35	все же	6	6
36	это не	7	6
37	с ее	2	6
38	в их	2	6
39	не может	22	6
40	так же	5	6
41	так как	21	6
42	с этим	7	6
43	и все	3	6
44	в жизни	3	6
45	и того	2	6
46	связи с	3	6
47	во всех	5	6
48	то что	10	6
49	как в	10	6
50	что в	22	5
51	одного и	2	5
52	не в	15	5
53	в разных	2	5
54	точки зрения	8	5
55	но все	2	5
56	если бы	14	5
57	но не	8	5
58	еще не	6	5
59	он не	3	5
60	не могло	3	5
61	отношению к	13	5
62	того чтобы	2	5
63	для того	3	5
64	могут быть	9	5
65	но на	2	4
66	в своем	3	4
67	и следовательно	2	4
68	влияние на	2	4
69	не имеет	5	4
70	потому что	52	4
71	и с	3	4
72	в ней	7	4
73	нет ничего	2	4
74	в них	3	4
75	том что	16	4
76	и для	5	4
77	и то	3	4
78	только в	25	4
79	и это	3	4
80	не могут	4	3
81	в этих	7	3
82	к тому	4	3
83	с тем	5	3
84	при этом	6	3
85	не имеют	5	3
86	имеет место	2	3
87	хотя и	3	3
88	в виду	2	3
89	по отношению	13	3
90	с одной	3	3
91	и других	4	3
92	в одно	2	3
93	друг друга	5	3
94	а в	5	3
95	сказать что	3	3
96	одно из	3	3
97	в начале	2	3
98	в одном	8	3
99	а как	2	3
100	для них	2	3
101	все ее	2	3
102	значение и	2	3
103	есть не	2	3
104	же в	2	3
105	в сущности	2	3
106	и потому	5	3
107	что и	6	3
108	вместе с	8	3
109	только на	3	3
110	еще более	2	3
111	а не	21	3
112	что не	10	3
113	мы не	10	3
114	мы видим	4	3
115	в таком	5	3
116	или в	2	3
117	во всяком	3	3
118	быть только	5	3
119	в себе	13	3
120	самого начала	3	2
121	мы будем	2	2
122	никогда не	4	2
123	в течение	2	2
124	друг другу	3	2
125	с другой	7	2
126	никто не	3	2
127	что все	3	2
128	была бы	2	2
129	вопрос о	4	2
130	но дело	2	2
131	а только	4	2
132	для нас	9	2
133	с самого	3	2
134	есть в	2	2
135	их к	2	2
136	в свою	4	2
137	для него	4	2
138	слагаются в	2	2
139	одной стороны	3	2
140	есть только	11	2
141	в целом	2	2
142	в самой	3	2
143	во втором	5	2
144	того что	8	2
145	и даже	4	2
146	и по	6	2
147	к ним	2	2
148	в более	4	2
149	их и	2	2
150	но он	2	2
151	во всем	4	2
152	в истории	7	2
153	что мы	4	2
154	мы должны	3	2
155	все то	2	2
156	с ним	3	2
157	для всех	5	2
158	он должен	2	2
159	в стороне	4	2
160	что имеет	2	2
161	тогда когда	9	2
162	по себе	10	2
163	стороны и	2	2
164	в другую	2	2
165	чем в	2	2
166	не были	2	2
167	и может	2	2
168	было бы	12	2
169	но оно	3	2
170	том же	2	2
171	к ней	2	2
172	оно не	3	2
173	в своей	3	2
174	как бы	6	2
175	связь между	2	2
176	не зная	2	2
177	если мы	3	2
178	уже не	2	2
179	с точки	3	2
180	хотя бы	2	2
181	в которой	2	2
182	той же	3	2
183	как она	3	2
184	тем что	9	2
185	в каком	6	2
186	и вообще	3	2
187	его на	2	2
188	слова и	4	2
189	дело в	2	2
190	там где	4	2
