N	2gram	Berdyaev_M_2	Formalny
1	т е	4	32
2	и не	18	30
3	и в	46	27
4	может быть	21	25
5	не может	15	24
6	так и	4	21
7	и его	5	19
8	в этом	20	18
9	а не	13	17
10	точки зрения	2	16
11	в нем	22	15
12	то же	5	15
13	как и	13	14
14	не в	9	12
15	если бы	3	12
16	и от	3	11
17	в самом	5	11
18	в жизни	4	11
19	место в	2	10
20	но и	15	10
21	в действительности	2	9
22	лишь в	2	9
23	так как	8	9
24	не только	18	9
25	так же	6	9
26	что в	4	8
27	ни в	3	8
28	как бы	8	8
29	и все	5	8
30	то что	5	8
31	только в	3	8
32	в том	3	7
33	потому что	12	7
34	его в	3	7
35	между тем	2	7
36	в его	5	7
37	все время	2	6
38	в своих	3	6
39	бы в	2	6
40	но в	10	6
41	что он	7	6
42	в своей	5	6
43	хотя бы	7	6
44	и для	7	6
45	вместе с	2	6
46	никогда не	18	5
47	в каждом	3	5
48	что они	3	5
49	совсем не	5	5
50	того чтобы	4	5
51	друг друга	12	5
52	в ней	11	5
53	и потому	7	5
54	что же	2	5
55	тому как	2	5
56	тем что	3	5
57	связи с	2	5
58	уже в	2	4
59	прежде всего	12	4
60	к тому	5	4
61	он был	9	4
62	да и	2	4
63	до конца	4	4
64	для того	5	4
65	же и	2	4
66	жизни и	6	4
67	они не	4	4
68	и те	2	4
69	о том	3	4
70	тогда когда	2	4
71	по себе	2	4
72	не есть	13	4
73	том что	4	4
74	она не	8	4
75	как ее	2	4
76	как в	7	4
77	менее всего	3	4
78	подобно тому	2	4
79	же как	3	3
80	бы и	5	3
81	что это	6	3
82	в этих	2	3
83	тому что	4	3
84	это не	5	3
85	в конце	5	3
86	те же	5	3
87	лишь как	3	3
88	того что	6	3
89	она есть	2	3
90	не о	2	3
91	этот процесс	2	3
92	по отношению	2	3
93	той же	3	3
94	и что	2	3
95	и на	3	3
96	сказать что	3	3
97	и с	3	3
98	в основе	2	3
99	от его	2	3
100	жизни в	3	3
101	в них	3	3
102	у нас	11	3
103	они и	4	3
104	во всех	2	3
105	еще в	2	3
106	оно не	2	3
107	отношению к	2	3
108	ее в	2	3
109	уже не	4	3
110	и эта	2	3
111	одни и	2	3
112	жизнь и	4	3
113	то он	2	3
114	в себе	10	3
115	души и	2	3
116	сам он	2	2
117	мы еще	2	2
118	для этого	4	2
119	в отношении	5	2
120	и мир	2	2
121	переходит в	8	2
122	человека и	7	2
123	на все	3	2
124	ее и	2	2
125	или иной	2	2
126	но это	8	2
127	в этой	7	2
128	на этом	2	2
129	смысле слова	3	2
130	он считает	2	2
131	к другому	3	2
132	но для	2	2
133	для чего	3	2
134	от того	3	2
135	что она	5	2
136	в своем	8	2
137	отношения к	2	2
138	но эта	2	2
139	у них	4	2
140	одной и	2	2
141	увидим что	2	2
142	принадлежат к	3	2
143	в высшей	3	2
144	как он	3	2
145	в россии	3	2
146	к которому	3	2
147	с его	4	2
148	почему они	2	2
149	сознания и	2	2
150	превращается в	2	2
151	и во	3	2
152	же что	2	2
153	в такой	3	2
154	в пределе	2	2
155	то в	2	2
156	и тогда	3	2
157	связано с	3	2
158	мы увидим	2	2
159	не от	2	2
160	в сущности	2	2
161	на почве	3	2
162	должен быть	4	2
163	с таким	2	2
164	что и	4	2
165	который был	2	2
166	к самому	2	2
167	бы не	2	2
168	на земле	8	2
169	россии и	2	2
170	это и	3	2
171	человека в	14	2
172	чтобы не	3	2
173	от этого	2	2
174	правда в	2	2
175	высшей степени	3	2
176	и это	5	2
177	ничего не	2	2
