N	2gram	Bakhtin_Pr_2	Stilisti
1	и в	43	42
2	как бы	22	27
3	не только	11	27
4	прежде всего	10	22
5	внутренней речи	2	18
6	хотя бы	2	17
7	но и	14	15
8	то же	8	15
9	и не	29	14
10	может быть	23	12
11	не может	18	12
12	точки зрения	13	11
13	как и	14	11
14	мы уже	3	11
15	и как	2	10
16	как мы	10	10
17	в этом	13	10
18	при этом	6	9
19	в то	7	9
20	то что	7	9
21	мы не	4	9
22	все же	3	8
23	слово как	4	8
24	таким образом	5	8
25	что же	7	8
26	в себе	5	8
27	и это	4	8
28	никогда не	9	7
29	же время	5	7
30	и на	10	7
31	так как	4	7
32	с его	4	7
33	слов и	5	7
34	было бы	5	7
35	а не	7	7
36	и его	8	7
37	мы можем	2	7
38	только в	4	7
39	ничего не	3	7
40	или иной	3	6
41	мы будем	3	6
42	не в	11	6
43	в форме	2	6
44	но ведь	5	6
45	в конце	2	6
46	и так	2	6
47	в нем	12	6
48	во всех	4	6
49	в процессе	2	6
50	так и	3	6
51	речи и	4	6
52	или как	4	6
53	слова в	12	5
54	уже в	2	5
55	своей жизни	2	5
56	и следовательно	3	5
57	и является	2	5
58	и их	3	5
59	а в	5	5
60	и с	5	5
61	и наконец	6	5
62	точек зрения	4	5
63	одно и	2	5
64	в его	10	5
65	в той	5	5
66	с точки	8	5
67	той же	3	5
68	слова и	12	5
69	что это	2	4
70	и без	2	4
71	в каждом	11	4
72	к тому	4	4
73	но все	2	4
74	художественного творчества	2	4
75	о своей	3	4
76	в самом	7	4
77	той или	3	4
78	в словах	4	4
79	все это	5	4
80	того что	2	4
81	речь и	2	4
82	так же	2	4
83	о том	5	4
84	его в	3	4
85	бы в	5	4
86	но в	10	4
87	если бы	3	4
88	и к	3	4
89	у нас	2	4
90	мы увидим	5	4
91	себя в	3	4
92	слово не	8	4
93	на него	3	4
94	а с	2	4
95	если мы	2	4
96	уже не	3	4
97	самом деле	5	4
98	и пр	2	4
99	тем же	2	4
100	в слове	5	4
101	можно было	3	4
102	и то	2	4
103	то есть	4	4
104	так сказать	6	4
105	его и	2	3
106	что у	2	3
107	перед нами	7	3
108	это не	3	3
109	слова но	2	3
110	словом и	2	3
111	для нас	2	3
112	здесь мы	2	3
113	слова о	2	3
114	и эта	2	3
115	но для	3	3
116	хотя и	5	3
117	в котором	6	3
118	в целом	2	3
119	из них	2	3
120	лишь в	8	3
121	и даже	3	3
122	их в	4	3
123	сказать что	2	3
124	и здесь	3	3
125	ни на	3	3
126	та же	2	3
127	в виду	3	3
128	теперь в	3	3
129	что было	2	3
130	и все	6	3
131	в одном	12	3
132	но при	3	3
133	этого слова	2	3
134	об этом	2	3
135	зрения как	2	3
136	том что	2	3
137	еще не	9	3
138	конечно не	2	3
139	что и	3	3
140	отношения к	2	3
141	да и	5	3
142	только на	3	3
143	слова как	3	3
144	слово и	9	3
145	что такое	2	3
146	между ними	4	3
147	и для	3	3
148	высказывания и	2	3
149	слов в	2	3
150	конце концов	2	3
151	не знает	3	3
152	может стать	4	3
153	бы и	2	2
154	человека и	2	2
155	и речь	2	2
156	человека в	4	2
157	вопрос о	2	2
158	не нужно	2	2
159	же слово	2	2
160	человек с	2	2
161	слова мы	2	2
162	в том	6	2
163	тому же	3	2
164	но это	4	2
165	времени и	2	2
166	и нет	4	2
167	для него	8	2
168	до конца	4	2
169	в пределах	16	2
170	и сам	7	2
171	ничего что	2	2
172	в него	7	2
173	себе и	4	2
174	в этих	6	2
175	отношение к	2	2
176	в первой	2	2
177	целый ряд	2	2
178	в отношении	3	2
179	все эти	5	2
180	но эта	2	2
181	должно быть	4	2
182	в которых	2	2
183	каждый из	2	2
184	в своих	2	2
185	также и	3	2
186	я и	2	2
187	в жизни	3	2
188	между собой	2	2
189	это слово	5	2
190	с этим	2	2
191	с собой	4	2
192	установки на	5	2
193	что он	13	2
194	и при	2	2
195	к миру	2	2
196	но не	5	2
197	по своему	2	2
198	почему же	4	2
199	тот же	3	2
200	оно является	2	2
201	перед ним	2	2
202	не есть	2	2
203	в своей	4	2
204	сих пор	7	2
205	каждом слове	2	2
206	слово или	2	2
207	как в	2	2
208	для наших	2	2
209	здесь не	6	2
210	бы не	2	2
211	другого человека	4	2
212	и он	5	2
213	к нему	5	2
214	с ним	3	2
215	или в	8	2
216	этот вопрос	4	2
217	тем что	3	2
