N	2gram	Ircho_Kome_2	VeschiIm
1	не может	3	33
2	не только	7	31
3	может быть	11	29
4	и не	14	28
5	и в	26	26
6	то что	6	24
7	и есть	2	23
8	и т	2	21
9	что она	2	14
10	только в	4	14
11	и что	2	13
12	что это	4	12
13	было бы	8	12
14	но и	10	12
15	все же	4	12
16	и ее	2	12
17	таким образом	6	11
18	то же	3	10
19	в ней	3	10
20	как бы	2	10
21	потому что	6	10
22	в том	11	9
23	в самом	4	9
24	бы то	2	9
25	и с	5	9
26	ни было	2	9
27	прежде всего	4	9
28	то ни	2	9
29	и это	2	8
30	говорить о	2	7
31	в то	6	7
32	его в	4	7
33	так как	4	7
34	том что	9	7
35	себя в	3	7
36	и их	3	7
37	в этом	10	7
38	так что	5	6
39	что в	9	6
40	но если	3	6
41	жизни и	3	6
42	со стороны	2	6
43	точки зрения	4	6
44	но в	3	6
45	ясно что	8	6
46	бы и	2	6
47	можно было	4	6
48	не менее	4	5
49	это не	2	5
50	с этой	3	5
51	не в	2	5
52	еще не	6	5
53	а в	3	5
54	что для	4	5
55	с тем	5	5
56	если бы	9	5
57	отнюдь не	2	5
58	в ее	2	5
59	одна из	2	5
60	но не	3	5
61	того же	3	5
62	и для	4	5
63	на себя	7	5
64	от ее	2	4
65	в своем	6	4
66	с другой	2	4
67	независимо от	5	4
68	же время	3	4
69	из них	7	4
70	в их	3	4
71	от того	2	4
72	с этим	5	4
73	о том	6	4
74	и все	2	4
75	то это	2	4
76	как и	4	4
77	во всех	3	4
78	нет и	2	4
79	что и	7	4
80	даже не	3	4
81	мы не	2	4
82	тем что	3	4
83	же не	2	4
84	вопрос о	3	3
85	что именно	2	3
86	к тому	12	3
87	на этом	2	3
88	и сам	3	3
89	в нем	6	3
90	отношение к	2	3
91	все это	3	3
92	мы находим	2	3
93	в философии	2	3
94	мы имеем	2	3
95	на это	2	3
96	в одном	2	3
97	один из	5	3
98	что он	5	3
99	могла бы	3	3
100	тот же	2	3
101	в своей	3	3
102	вместе с	9	3
103	так и	12	3
104	да и	3	3
105	в той	2	3
106	бы в	2	3
107	того чтобы	6	3
108	хотя бы	2	3
109	в частности	4	2
110	тому что	4	2
111	затем и	2	2
112	что на	3	2
113	ни в	5	2
114	в самой	3	2
115	но все	3	2
116	и если	2	2
117	в виду	2	2
118	так или	3	2
119	бы к	2	2
120	от всех	2	2
121	в первом	2	2
122	как это	4	2
123	мы можем	3	2
124	от этого	2	2
125	о чем	3	2
126	и во	2	2
127	с собой	2	2
128	а затем	5	2
129	в силу	2	2
130	признать что	2	2
131	в качестве	5	2
132	наряду с	6	2
133	об этом	2	2
134	он не	2	2
135	что из	2	2
136	или его	2	2
137	как в	3	2
138	если не	2	2
139	еще более	2	2
140	как мы	4	2
141	в в	4	2
142	для того	5	2
143	при всем	3	2
144	и его	12	2
145	той же	3	2
146	или иначе	3	2
147	из его	2	2
148	тут же	2	2
149	во всяком	2	2
150	это было	4	2
