N	2gram	Voloshinov_1	RusskieA
1	и в	16	29
2	что в	3	22
3	том что	3	22
4	в том	3	22
5	как бы	5	18
6	может быть	17	13
7	так как	4	13
8	во время	3	12
9	как и	2	11
10	в этом	9	11
11	все это	4	10
12	в этот	2	10
13	и с	8	10
14	не только	7	10
15	а на	2	9
16	о том	2	9
17	а в	3	9
18	но и	4	8
19	ее в	2	8
20	его в	4	8
21	мы не	2	6
22	еще не	5	6
23	для нас	2	6
24	вместе с	3	6
25	таким образом	9	6
26	при этом	6	6
27	и на	4	6
28	к этому	2	5
29	то что	3	5
30	для этого	2	5
31	не может	8	5
32	но в	4	5
33	в них	2	4
34	и все	4	4
35	же как	2	4
36	так же	2	4
37	то же	2	4
38	на них	2	4
39	их в	3	4
40	как это	3	4
41	на этом	3	3
42	в этих	3	3
43	и других	2	3
44	на первый	2	3
45	было бы	2	3
46	и о	2	3
47	с другими	3	3
48	во всех	3	3
49	и через	2	3
50	все эти	5	3
51	и по	2	3
52	как мы	4	3
53	в этой	4	3
54	что это	2	3
55	не менее	2	2
56	с этой	2	2
57	могут быть	3	2
58	никогда не	2	2
59	связанные с	2	2
60	между собой	2	2
61	из этих	2	2
62	прежде всего	9	2
63	нет никаких	2	2
64	что и	2	2
65	и как	3	2
66	совсем не	2	2
67	только как	3	2
68	и пр	12	2
69	совершенно не	8	2
70	что на	2	2
71	все то	2	2
72	в него	5	2
73	один из	2	2
74	на две	3	2
75	в своей	2	2
76	на самом	4	2
77	и для	2	2
78	с этим	2	2
79	и ее	4	2
80	есть в	2	2
81	не можем	2	2
