N	2gram	Bakhtin_KF_1	NovoeSre
1	а не	17	17
2	не может	27	16
3	и в	24	16
4	совсем не	2	12
5	и не	26	11
6	и есть	9	10
7	что в	4	9
8	жизни и	8	8
9	он не	6	8
10	в том	6	8
11	не будет	2	7
12	культуры и	5	7
13	как и	5	7
14	это есть	2	7
15	в этом	14	7
16	может быть	45	7
17	никогда не	5	6
18	не знает	5	6
19	не в	12	6
20	лишь в	8	6
21	но это	6	6
22	ни в	12	6
23	должен быть	7	5
24	в нем	28	5
25	все это	10	5
26	в жизни	2	5
27	с ее	2	5
28	в ней	3	5
29	не только	5	5
30	не менее	3	4
31	то что	7	4
32	это не	10	4
33	и все	7	4
34	не было	8	4
35	в час	3	4
36	не имеет	5	4
37	и для	9	4
38	должно быть	6	4
39	есть лишь	5	4
40	потому что	2	4
41	по своему	3	4
42	прежде всего	2	4
43	и мы	2	4
44	о том	3	4
45	и потому	2	4
46	но и	9	3
47	не есть	20	3
48	должна быть	4	3
49	в своей	10	3
50	жизни в	5	3
51	вопрос о	2	3
52	во всех	11	3
53	и пр	3	3
54	в мире	6	3
55	в ее	16	3
56	в основе	5	3
57	с тем	2	3
58	конечно не	7	3
59	как в	2	3
60	еще не	4	3
61	к ним	4	3
62	не значит	6	3
63	это было	2	3
64	жизни как	5	2
65	времени и	4	2
66	я не	6	2
67	и весь	2	2
68	себя в	8	2
69	место в	5	2
70	бытия в	5	2
71	так и	2	2
72	для этого	2	2
73	в категориях	4	2
74	а в	4	2
75	я уже	2	2
76	этом смысле	3	2
77	все эти	10	2
78	думать что	2	2
79	этот мир	2	2
80	быть в	4	2
81	уже не	7	2
82	нет и	3	2
83	того чтобы	2	2
84	хотя бы	4	2
85	но не	12	2
86	ни к	2	2
87	это и	2	2
88	мы не	3	2
89	том что	4	2
90	в смысле	6	2
91	но я	2	2
92	могут быть	3	2
93	и на	3	2
94	в себе	21	2
95	ли это	2	2
96	в то	3	2
97	познания и	4	2
98	и это	12	2
99	к содержанию	2	2
100	ни одна	2	2
101	мира и	4	2
102	но для	2	2
103	но в	5	2
