N	2gram	Tiupa_Narr_2	Poddanst
1	не только	26	17
2	и в	13	14
3	и не	14	12
4	в области	2	11
5	в этом	13	10
6	то же	4	9
7	в том	14	9
8	в качестве	14	9
9	но в	6	9
10	хотя бы	2	8
11	же время	3	7
12	в то	5	7
13	только в	11	7
14	быть может	2	6
15	но и	15	6
16	в ней	2	6
17	было бы	2	6
18	с другой	5	5
19	не в	8	5
20	может быть	10	5
21	же в	4	4
22	в котором	5	4
23	то что	8	4
24	что в	4	4
25	если бы	4	4
26	в своем	6	4
27	не может	8	4
28	но также	2	4
29	и к	6	4
30	а в	9	4
31	том что	13	4
32	а также	6	4
33	как бы	6	4
34	в нем	5	3
35	и т	2	3
36	столь же	2	3
37	это не	3	3
38	с одной	5	3
39	прежде всего	6	3
40	тем самым	5	3
41	с точки	2	3
42	сводится к	9	3
43	мы не	2	3
44	с ними	3	3
45	между тем	3	3
46	но не	3	3
47	точки зрения	5	3
48	в себе	8	3
49	одной стороны	5	3
50	вслед за	6	3
51	потому что	2	3
52	хотя и	5	3
53	не менее	4	2
54	и тем	5	2
55	в мире	4	2
56	начала и	2	2
57	не к	4	2
58	именно в	2	2
59	хх века	2	2
60	в частности	11	2
61	отнюдь не	4	2
62	тем более	2	2
63	со стороны	6	2
64	как раз	3	2
65	не столько	5	2
66	в жизни	6	2
67	а не	17	2
68	того что	6	2
69	для нас	2	2
70	в ее	4	2
71	как на	2	2
72	говорить о	2	2
73	одна из	3	2
74	в силу	4	2
75	исключительно в	2	2
76	в виде	2	2
77	в начале	2	2
78	более чем	2	2
79	мысль о	2	2
80	церкви и	2	2
81	никак не	3	2
82	да и	3	2
83	в его	6	2
