N	2gram	Tiupa_Vved_1	Istorich
1	и в	13	25
2	может быть	18	17
3	мы имеем	5	14
4	не только	20	13
5	но и	19	13
6	в его	4	12
7	и не	12	11
8	уже не	5	11
9	все же	6	10
10	в этом	21	10
11	тем что	2	10
12	с другой	5	9
13	и его	5	9
14	таким образом	4	9
15	что в	3	8
16	этих случаях	2	8
17	том что	7	8
18	еще не	7	8
19	на него	2	8
20	другой стороны	2	8
21	и на	3	8
22	в частности	13	7
23	в качестве	8	7
24	тот кто	2	7
25	мы видели	2	7
26	как и	11	7
27	но это	3	7
28	то что	6	7
29	одной стороны	5	7
30	в нем	5	7
31	с одной	5	7
32	потому что	5	7
33	представляет собой	15	7
34	только в	6	7
35	о том	5	7
36	в этих	3	6
37	это не	6	6
38	прежде всего	7	6
39	что и	2	6
40	как в	4	6
41	не может	7	6
42	не в	6	6
43	могут быть	4	6
44	в том	10	6
45	как мы	3	5
46	для нас	2	5
47	но не	5	5
48	связано с	3	5
49	например в	2	5
50	в ней	4	5
51	с появлением	2	5
52	мы не	4	5
53	не менее	4	4
54	не как	2	4
55	не всегда	2	4
56	и тем	2	4
57	тем не	3	4
58	в пределах	2	4
59	наряду с	2	4
60	то же	5	4
61	на смену	2	4
62	он не	3	4
63	с ним	3	4
64	никогда не	4	3
65	и все	4	3
66	в целом	3	3
67	в свою	4	3
68	в то	4	3
69	если в	2	3
70	представляют собой	3	3
71	а в	6	3
72	в данном	13	3
73	их в	2	3
74	и с	2	3
75	героя и	3	3
76	перед нами	6	2
77	к этому	2	2
78	по себе	2	2
79	можно сказать	4	2
80	об этом	4	2
81	мы и	2	2
82	одна из	4	2
83	а на	2	2
84	жизни и	7	2
85	если бы	7	2
86	одним из	5	2
87	как бы	4	2
88	это время	2	2
89	еще в	2	2
90	один из	3	2
91	в своей	5	2
92	отношению к	7	2
93	во всех	2	2
94	том чтобы	2	2
95	данном случае	6	2
96	со стороны	5	2
97	по отношению	7	2
98	и для	3	2
99	самом деле	3	2
100	а не	15	2
101	того что	6	2
102	и по	3	2
103	так в	4	2
104	к его	3	2
105	что мы	2	2
106	и вновь	3	2
107	о чем	2	2
108	том как	3	2
109	мы можем	2	2
