N	2gram	Kanaev_Sov_1	VrazhdaK
1	не только	4	9
2	в этом	7	8
3	и что	2	8
4	и в	7	8
5	что в	2	7
6	и все	3	7
7	в нем	3	6
8	все же	3	6
9	и даже	2	6
10	как и	6	6
11	но в	3	6
12	то же	3	5
13	и не	6	5
14	у него	2	5
15	уже в	3	4
16	для нас	3	4
17	как бы	4	4
18	все это	3	4
19	это не	4	4
20	может быть	12	4
21	при этом	3	4
22	и во	2	3
23	в конце	3	3
24	в том	4	3
25	в его	2	3
26	из них	4	2
27	не менее	2	2
28	вместе с	4	2
29	отнюдь не	3	2
30	не может	17	2
31	по мнению	2	2
32	а в	4	2
33	таким образом	11	2
34	уже не	2	2
35	мы знаем	2	2
36	с точки	5	2
37	в этой	3	2
38	их в	4	2
39	точки зрения	12	2
40	в свою	2	2
41	в себе	3	2
42	еще не	3	2
43	одна из	3	2
