N	2gram	Bakhtin_Pr_1	NovoeSre
1	а не	20	17
2	не может	11	16
3	и в	23	16
4	и не	34	11
5	и есть	5	10
6	что в	8	9
7	жизни и	6	8
8	как не	4	8
9	он не	4	8
10	в том	11	8
11	как и	8	7
12	в этом	25	7
13	может быть	21	7
14	с его	6	6
15	никогда не	5	6
16	не в	6	6
17	лишь в	3	6
18	но это	5	6
19	ни в	3	6
20	воля к	2	6
21	в нем	20	5
22	все это	7	5
23	в жизни	6	5
24	с ее	2	5
25	и к	4	5
26	не только	13	5
27	то что	18	4
28	в них	3	4
29	это не	10	4
30	не во	3	4
31	и все	3	4
32	не было	3	4
33	и для	3	4
34	потому что	12	4
35	прежде всего	7	4
36	о том	2	4
37	и потому	3	4
38	но и	11	3
39	должна быть	2	3
40	в своей	11	3
41	в истории	2	3
42	с другой	2	3
43	вопрос о	4	3
44	в духе	3	3
45	во всех	5	3
46	в мире	7	3
47	в основе	5	3
48	подобно тому	3	3
49	как в	6	3
50	она не	5	3
51	еще не	5	3
52	тому как	3	3
53	за пределы	6	3
54	сказать что	5	3
55	не значит	2	3
56	что все	3	2
57	я не	3	2
58	себя в	3	2
59	у него	6	2
60	вместе с	2	2
61	так и	10	2
62	что она	2	2
63	мысли и	2	2
64	и т.п	3	2
65	другой стороны	2	2
66	мир и	6	2
67	а в	7	2
68	к более	2	2
69	этом смысле	9	2
70	все эти	8	2
71	этот мир	3	2
72	уже не	8	2
73	роль в	2	2
74	того чтобы	4	2
75	нового типа	2	2
76	и даже	3	2
77	хотя бы	2	2
78	но не	8	2
79	так же	6	2
80	по существу	4	2
81	это и	9	2
82	мы не	2	2
83	том что	9	2
84	в смысле	2	2
85	можно было	3	2
86	есть в	3	2
87	одна из	2	2
88	и с	4	2
89	и на	10	2
90	в себе	5	2
91	с их	5	2
92	в то	10	2
93	как будто	3	2
94	и это	5	2
95	мира и	7	2
96	мысли в	2	2
97	но для	2	2
98	не могли	2	2
99	но в	4	2
