N	2gram	Tiupa_Narr_1	Komedia
1	и в	19	22
2	том что	14	12
3	в том	18	11
4	но и	23	11
5	не только	32	10
6	из них	3	10
7	в то	3	10
8	как и	7	9
9	может быть	25	9
10	и не	20	8
11	и его	5	8
12	о том	6	8
13	в этой	5	7
14	что в	3	6
15	одного из	4	6
16	что он	6	6
17	к тому	7	6
18	ни в	3	6
19	тому же	5	6
20	такого рода	7	6
21	то же	4	6
22	не в	14	6
23	а в	11	6
24	уже в	3	5
25	с другой	8	5
26	прежде всего	4	5
27	при этом	9	5
28	в его	9	5
29	один из	3	5
30	так и	9	5
31	как в	7	5
32	другой стороны	4	5
33	нового времени	2	5
34	и даже	3	5
35	между тем	3	5
36	именно в	6	4
37	несмотря на	2	4
38	как мы	3	4
39	же в	4	4
40	на протяжении	6	4
41	что они	3	4
42	в качестве	21	4
43	же время	4	4
44	а также	7	4
45	в нем	4	4
46	на него	3	4
47	тем что	3	4
48	в результате	2	4
49	точки зрения	10	4
50	но в	6	4
51	после смерти	2	3
52	же как	3	3
53	не менее	3	3
54	однако в	2	3
55	и одновременно	2	3
56	в любом	2	3
57	идет о	2	3
58	и как	5	3
59	одной стороны	7	3
60	во второй	2	3
61	одной из	4	3
62	в частности	14	3
63	у него	4	3
64	да и	4	3
65	хотя и	3	3
66	он не	3	3
67	речь идет	4	3
68	даже в	2	3
69	все же	7	3
70	отношению к	6	3
71	отношение к	2	3
72	так же	2	3
73	по отношению	7	3
74	этом отношении	3	3
75	с одной	7	3
76	не мог	4	3
77	как раз	2	3
78	каждый из	2	3
79	и на	3	3
80	в этом	17	3
81	и с	4	3
82	могут быть	3	3
83	и ее	2	3
84	только в	4	3
85	как правило	4	3
86	и все	2	3
87	его в	2	3
88	как это	6	3
89	ничего не	2	3
90	к которому	2	3
91	в известном	2	2
92	времени и	7	2
93	в противоположность	2	2
94	в рамках	12	2
95	ни было	3	2
96	независимо от	2	2
97	то ни	3	2
98	столь же	3	2
99	здесь и	2	2
100	в свою	3	2
101	точек зрения	2	2
102	тем не	3	2
103	одна из	3	2
104	но не	5	2
105	в себя	6	2
106	как известно	2	2
107	еще не	7	2
108	было бы	4	2
109	мог бы	3	2
110	и самого	3	2
111	и тем	4	2
112	с ее	3	2
113	то что	11	2
114	бы то	3	2
115	наряду с	2	2
116	со стороны	9	2
117	или менее	2	2
118	вслед за	4	2
119	даже не	3	2
120	который в	2	2
121	при всем	2	2
122	в сущности	3	2
123	не может	10	2
124	что у	2	2
125	в форме	5	2
126	из которых	4	2
127	в принципе	4	2
128	к нему	5	2
129	в силу	4	2
130	или в	2	2
131	одну из	2	2
132	что касается	2	2
133	на себя	3	2
134	в себе	8	2
135	по своей	3	2
136	как будто	3	2
137	будто бы	3	2
138	отличие от	5	2
139	в области	2	2
140	что по	2	2
