N	2gram	Vinokur_St_2	Istorich
1	и в	29	25
2	что он	13	22
3	вместе с	7	22
4	и т	9	20
5	т д	6	18
6	может быть	2	17
7	т е	10	16
8	не только	19	13
9	но и	19	13
10	в его	13	12
11	и не	9	11
12	так как	2	11
13	все же	6	10
14	в этом	21	10
15	тем что	3	10
16	с другой	4	9
17	его в	2	9
18	и его	6	9
19	таким образом	10	9
20	с тем	7	8
21	связи с	4	8
22	что в	19	8
23	том что	27	8
24	связь с	2	8
25	другой стороны	3	8
26	все эти	2	8
27	и что	6	8
28	и на	6	8
29	в частности	4	7
30	в качестве	5	7
31	во время	2	7
32	а затем	2	7
33	как и	2	7
34	но это	3	7
35	то что	11	7
36	в нем	4	7
37	при помощи	4	7
38	потому что	9	7
39	и здесь	3	7
40	только в	2	7
41	о том	17	7
42	в этих	3	6
43	прежде всего	5	6
44	что и	2	6
45	как в	3	6
46	не может	2	6
47	и он	3	6
48	не в	4	6
49	в том	27	6
50	там где	2	6
51	что это	3	5
52	с этим	3	5
53	в образе	3	5
54	но все	7	5
55	но не	3	5
56	например в	3	5
57	в ней	7	5
58	так же	3	5
59	не менее	3	4
60	если не	2	4
61	что у	4	4
62	раньше чем	4	4
63	тем не	2	4
64	в ее	2	4
65	до него	2	4
66	же как	3	4
67	в некоторых	2	4
68	все это	11	4
69	то же	2	4
70	в истории	2	4
71	он не	9	4
72	и это	2	4
73	в которой	11	4
74	того как	7	4
75	никогда не	3	3
76	и как	2	3
77	после того	4	3
78	в этой	2	3
79	в то	2	3
80	того чтобы	6	3
81	и пр	8	3
82	и др	2	3
83	на себя	3	3
84	в особенности	2	3
85	для того	7	3
86	его не	3	3
87	в данном	2	3
88	и с	4	3
89	они не	2	3
90	и вообще	2	3
91	в русской	5	3
92	уже после	2	2
93	из нее	3	2
94	к этому	4	2
95	вовсе не	6	2
96	а как	4	2
97	вопрос о	6	2
98	по себе	3	2
99	меня в	2	2
100	на то	2	2
101	б в	2	2
102	так что	3	2
103	об этом	6	2
104	о которых	2	2
105	с этой	2	2
106	по существу	2	2
107	такое же	2	2
108	кто был	3	2
109	как у	3	2
110	очевидно что	2	2
111	того же	2	2
112	до сих	6	2
113	в это	2	2
114	и сам	2	2
115	несмотря на	2	2
116	если бы	2	2
117	одним из	6	2
118	должно было	3	2
119	как бы	5	2
120	и потому	2	2
121	это время	2	2
122	еще в	2	2
123	даже в	2	2
124	сих пор	5	2
125	в своей	7	2
126	ее в	2	2
127	со стороны	2	2
128	говорит о	2	2
129	так например	7	2
130	совершенно не	2	2
131	что за	2	2
132	в течение	6	2
133	самом деле	3	2
134	а не	5	2
135	того что	5	2
136	потому ли	2	2
137	и по	3	2
138	что этот	2	2
139	связан с	3	2
140	сказать что	2	2
141	но он	3	2
142	точки зрения	5	2
143	из них	3	2
144	в которую	2	2
145	особенно в	2	2
146	на нее	3	2
147	не потому	2	2
148	ничего не	4	2
149	о чем	5	2
150	это было	2	2
