N	2gram	Nazirov_Tv_2	Analitik
1	не только	13	22
2	тогда как	3	20
3	и в	20	18
4	как и	6	14
5	так и	6	14
6	в этом	8	14
7	но и	8	13
8	и его	9	13
9	в частности	2	12
10	том что	4	12
11	и не	9	12
12	при этом	8	11
13	а в	4	10
14	как бы	11	10
15	то есть	5	10
16	может быть	8	9
17	что в	7	9
18	а не	6	9
19	в том	8	9
20	в первой	2	8
21	своего рода	3	8
22	и даже	5	8
23	не случайно	2	8
24	с другой	2	7
25	но не	5	7
26	в его	10	7
27	в русской	2	7
28	отношению к	3	7
29	по отношению	3	7
30	не в	4	6
31	в начале	3	6
32	для него	3	6
33	еще не	5	6
34	в этой	5	6
35	он не	3	6
36	в их	3	6
37	о том	5	6
38	никогда не	11	5
39	не является	3	5
40	в конце	6	5
41	прежде всего	8	5
42	в самом	3	5
43	как правило	2	5
44	в мире	5	5
45	другой стороны	2	5
46	а а	4	5
47	уже не	3	5
48	между тем	3	5
49	не менее	2	4
50	отнюдь не	4	4
51	по крайней	2	4
52	в одном	2	4
53	что он	6	4
54	себя в	2	4
55	и сам	5	4
56	крайней мере	2	4
57	все же	5	4
58	приводит к	2	4
59	ли не	2	4
60	таким образом	10	4
61	тем самым	4	4
62	и на	5	4
63	героя и	2	4
64	уже в	2	3
65	восходит к	2	3
66	и без	2	3
67	не столько	2	3
68	у пушкина	3	3
69	личности в	2	3
70	к этому	3	3
71	в ее	2	3
72	тому же	2	3
73	что они	4	3
74	же время	7	3
75	к жизни	2	3
76	в целом	6	3
77	как в	4	3
78	все это	6	3
79	так в	2	3
80	то же	7	3
81	не было	2	3
82	именно в	6	3
83	в году	16	3
84	что не	3	3
85	роль в	2	3
86	мы не	4	3
87	ничего не	4	3
88	говорить о	2	3
89	в то	10	3
90	его в	3	3
91	едва ли	2	3
92	могут быть	2	2
93	все эти	4	2
94	это не	7	2
95	и от	4	2
96	в нем	3	2
97	и ее	2	2
98	наш взгляд	2	2
99	в романе	15	2
100	в соответствии	4	2
101	в дальнейшем	4	2
102	одна из	3	2
103	например в	5	2
104	на его	4	2
105	по преимуществу	2	2
106	хотя и	4	2
107	об этом	4	2
108	о своих	2	2
109	и потому	4	2
110	всяком случае	2	2
111	по сути	3	2
112	один из	3	2
113	то что	3	2
114	когда он	4	2
115	вместе с	3	2
116	что она	4	2
117	связь с	2	2
118	не может	7	2
119	в отличие	2	2
120	сводится к	2	2
121	самом деле	2	2
122	на наш	2	2
123	в принципе	4	2
124	и он	2	2
125	и по	2	2
126	во всяком	2	2
127	тем что	3	2
128	в себе	3	2
129	в искусстве	2	2
130	только в	2	2
131	так сказать	2	2
132	отличие от	2	2
133	но в	4	2
134	любви к	3	2
