N	2gram	Tiupa_Lite_1	FransuaR
1	и в	8	41
2	то есть	6	20
3	таким образом	3	19
4	в этом	12	15
5	как и	6	14
6	в этой	4	13
7	то же	5	13
8	все эти	2	13
9	в его	7	12
10	прежде всего	11	11
11	в том	16	11
12	в себе	7	11
13	так и	4	10
14	в то	5	10
15	в качестве	17	9
16	и его	4	9
17	не в	8	9
18	же время	5	9
19	но и	17	9
20	и т.п	4	9
21	в своем	11	9
22	что в	3	9
23	в конце	4	8
24	то что	10	8
25	но в	3	8
26	как бы	7	7
27	в нем	2	7
28	и не	12	7
29	у него	3	6
30	все они	2	6
31	это не	4	6
32	для него	2	6
33	только в	8	6
34	о том	2	6
35	уже в	5	5
36	не только	24	5
37	на этом	2	5
38	всего в	3	5
39	как в	5	5
40	в году	13	5
41	а в	3	5
42	точки зрения	6	5
43	потому что	3	5
44	том что	14	4
45	одна из	3	4
46	было бы	2	4
47	в сущности	2	4
48	может быть	13	4
49	в виду	3	4
50	та же	2	4
51	мира в	3	4
52	я не	7	3
53	и есть	3	3
54	того же	2	3
55	нового времени	2	3
56	в мире	2	3
57	по этому	2	3
58	в своей	4	3
59	при этом	19	3
60	в формах	4	3
61	из них	4	3
62	несмотря на	3	3
63	например в	3	3
64	что он	5	3
65	жизни и	3	3
66	в их	3	3
67	не может	5	3
68	не было	3	3
69	тем самым	5	3
70	с точки	2	3
71	той же	3	3
72	можно было	2	3
73	тем что	2	3
74	не на	2	3
75	его в	3	3
76	с его	5	2
77	и др	3	2
78	никогда не	4	2
79	здесь как	2	2
80	к тому	2	2
81	отношению к	2	2
82	своего времени	2	2
83	в себя	2	2
84	еще не	4	2
85	того что	6	2
86	своего рода	11	2
87	мы в	2	2
88	одного из	3	2
89	на том	2	2
90	так называемый	2	2
91	и самого	2	2
92	а также	5	2
93	дело не	2	2
94	должен быть	2	2
95	не есть	2	2
96	же в	5	2
97	по отношению	3	2
98	в связи	4	2
99	этом отношении	2	2
100	только на	2	2
101	не мог	3	2
102	а не	16	2
103	а только	2	2
104	уже не	7	2
105	но без	2	2
106	роль в	2	2
107	в данном	5	2
108	и то	2	2
109	во всяком	3	2
110	ту же	2	2
111	также и	3	2
112	далеко не	3	2
113	как он	2	2
114	дело в	3	2
115	в области	3	2
