N	2gram	Vinokur_Vv_1	formyVre
1	и в	27	50
2	в этом	34	25
3	в нем	13	24
4	и его	5	16
5	прежде всего	8	15
6	и не	13	14
7	как мы	9	14
8	вовсе не	6	13
9	как раз	4	13
10	в его	10	13
11	по существу	2	12
12	может быть	24	11
13	таким образом	19	11
14	то же	8	11
15	и как	9	10
16	времени и	4	10
17	но в	10	10
18	в конце	3	9
19	в том	31	9
20	же время	5	9
21	и др	2	9
22	в особенности	4	9
23	все эти	3	9
24	в то	5	9
25	не только	21	9
26	ничего не	2	9
27	в самом	12	8
28	и т	43	8
29	но и	5	8
30	и на	3	8
31	как и	5	8
32	того же	3	8
33	жизни и	2	8
34	т п	5	8
35	времени в	3	7
36	все же	8	6
37	в частности	3	6
38	это не	8	6
39	в дальнейшем	2	6
40	например в	2	6
41	в их	11	6
42	не может	13	6
43	так же	3	6
44	в результате	3	6
45	так как	13	6
46	с этим	2	6
47	и того	2	6
48	связи с	3	6
49	во всех	2	6
50	то что	17	6
51	время в	2	6
52	в ее	11	6
53	что в	11	5
54	одного и	2	5
55	не в	8	5
56	значение в	2	5
57	и до	2	5
58	этот процесс	3	5
59	до нас	3	5
60	в связи	2	5
61	в разных	5	5
62	точки зрения	7	5
63	но все	3	5
64	если бы	2	5
65	но не	7	5
66	еще не	4	5
67	наряду с	2	5
68	отношению к	4	5
69	того чтобы	21	5
70	для того	21	5
71	могут быть	4	5
72	понятно что	3	4
73	в своем	3	4
74	до конца	3	4
75	в котором	4	4
76	на этой	3	4
77	все это	6	4
78	не имеет	4	4
79	потому что	14	4
80	и с	2	4
81	в ней	3	4
82	именно как	3	4
83	в них	4	4
84	или как	3	4
85	в той	7	4
86	том что	26	4
87	и для	4	4
88	и то	5	4
89	только в	13	4
90	и это	6	4
91	здесь не	2	4
92	в основу	2	3
93	не могут	5	3
94	в этих	3	3
95	в отношении	2	3
96	к тому	4	3
97	да и	4	3
98	с тем	6	3
99	при этом	3	3
100	себе и	2	3
101	хотя и	3	3
102	в виду	4	3
103	здесь нет	4	3
104	и уже	3	3
105	один из	6	3
106	в форме	2	3
107	по отношению	4	3
108	этом отношении	3	3
109	с одной	4	3
110	именно в	8	3
111	и других	3	3
112	а в	5	3
113	вообще не	3	3
114	и те	2	3
115	сказать что	5	3
116	одно из	5	3
117	в начале	3	3
118	его в	6	3
119	в одном	4	3
120	ни к	2	3
121	а как	3	3
122	к этому	3	3
123	всего того	2	3
124	значение и	2	3
125	есть не	3	3
126	в качестве	7	3
127	одной из	3	3
128	в сущности	3	3
129	что и	3	3
130	вместе с	6	3
131	сих пор	5	3
132	только на	3	3
133	а не	3	3
134	что не	5	3
135	между ними	2	3
136	мы не	2	3
137	во всяком	3	3
138	и ее	4	3
139	в себе	4	3
140	входит в	2	3
141	до сих	5	3
142	уже в	5	2
143	совсем не	3	2
144	же как	3	2
145	никогда не	3	2
146	в течение	5	2
147	с другой	8	2
148	само собой	2	2
149	вопрос о	8	2
150	но дело	3	2
151	а только	8	2
152	нового типа	2	2
153	в широком	7	2
154	с их	5	2
155	лишь как	2	2
156	смысле слова	7	2
157	одной стороны	4	2
158	есть только	2	2
159	в целом	5	2
160	не к	2	2
161	отношение к	3	2
162	ни с	2	2
163	еще и	3	2
164	можно только	2	2
165	во втором	2	2
166	того что	12	2
167	и даже	5	2
168	рядом с	2	2
169	в которых	6	2
170	широком смысле	8	2
171	также и	16	2
172	в более	2	2
173	во всем	2	2
174	в истории	9	2
175	что мы	2	2
176	отсюда и	2	2
177	как он	6	2
178	сравнению с	3	2
179	не как	3	2
180	тогда когда	3	2
181	ясно что	9	2
182	по себе	9	2
183	стороны и	3	2
184	в различных	2	2
185	об этом	5	2
186	здесь все	2	2
187	в соответствии	2	2
188	строгом смысле	3	2
189	в чем	4	2
190	одна из	2	2
191	чем в	3	2
192	было бы	5	2
193	том же	2	2
194	а также	3	2
195	в этот	2	2
196	на почве	5	2
197	по сравнению	3	2
198	в своей	4	2
199	как бы	5	2
200	быть и	2	2
201	в строгом	3	2
202	в центре	4	2
203	в отличие	3	2
204	связь между	4	2
205	уже не	5	2
206	в значительной	2	2
207	с точки	2	2
208	хотя бы	5	2
209	той же	4	2
210	в данном	11	2
211	как она	4	2
212	от этого	5	2
213	тем что	6	2
214	соответствии с	2	2
215	и вообще	3	2
216	как оно	3	2
217	дело в	3	2
218	отличие от	3	2
219	того не	2	2
