N	3gram	Vinokur_Vv_1	Marksizm
1	с точки зрения	2	13
2	не может быть	8	10
3	то же время	5	8
4	в то же	5	8
5	по отношению к	4	8
6	в связи с	2	7
7	в том что	12	6
8	для того чтобы	21	6
9	в самом деле	5	5
10	на этой почве	2	5
11	то же самое	2	5
12	может быть и	2	5
13	но в то	3	5
14	и того же	2	4
15	смысле этого слова	2	4
16	одного и того	2	4
17	с одной стороны	4	3
18	о том что	12	3
19	в отличие от	3	3
20	как мы видели	2	3
21	языка и его	2	3
22	до сих пор	5	3
23	по крайней мере	4	2
24	в собственном смысле	2	2
25	во всяком случае	3	2
26	того чтобы понять	2	2
27	одной стороны и	3	2
