N	2gram	Losev_Vlad_3	Analitik
1	в качестве	3	31
2	может быть	8	29
3	в том	18	27
4	не может	14	22
5	и не	25	21
6	и в	40	18
7	а не	8	17
8	но и	18	17
9	отнюдь не	5	15
10	не только	25	15
11	не в	3	14
12	как и	7	13
13	в его	14	13
14	в этом	16	13
15	том что	18	12
16	при этом	3	12
17	в себе	9	11
18	то есть	24	11
19	но не	4	10
20	то же	4	9
21	а в	7	9
22	в то	7	9
23	в мире	2	8
24	есть не	2	8
25	не есть	10	8
26	но в	4	8
27	к тому	7	7
28	тем самым	2	7
29	это не	3	6
30	прежде всего	10	6
31	же время	2	6
32	в самом	4	6
33	в сущности	2	6
34	той или	2	6
35	далеко не	3	6
36	то что	28	6
37	в своей	9	6
38	в отличие	3	6
39	отличие от	3	6
40	точки зрения	13	6
41	по своей	2	6
42	только в	13	6
43	мы имеем	3	6
44	и как	7	5
45	в этой	8	5
46	что в	17	5
47	такого рода	4	5
48	как бы	3	5
49	в целом	2	5
50	в их	2	5
51	сводится к	3	5
52	и его	10	5
53	и на	6	5
54	о том	11	5
55	того что	7	4
56	и более	2	4
57	с другой	5	4
58	по себе	6	4
59	ни в	10	4
60	тому же	5	4
61	того же	2	4
62	для того	2	4
63	не с	4	4
64	все же	4	4
65	вместе с	7	4
66	так и	6	4
67	собственно говоря	3	4
68	именно в	3	4
69	уже не	9	4
70	с точки	6	4
71	в другом	2	4
72	не могут	2	3
73	с его	2	3
74	в нашем	2	3
75	которая в	2	3
76	то ни	3	3
77	хотя бы	6	3
78	и все	4	3
79	в нем	3	3
80	и к	2	3
81	что он	5	3
82	в силу	2	3
83	еще не	4	3
84	одной стороны	3	3
85	он не	8	3
86	в котором	4	3
87	даже в	4	3
88	что и	7	3
89	не будет	6	3
90	бы то	3	3
91	ни с	3	3
92	а именно	12	3
93	таким образом	11	3
94	а с	4	3
95	с одной	3	3
96	того чтобы	3	3
97	к нему	3	3
98	в таком	3	3
99	что мы	2	3
100	разного рода	3	3
101	а также	8	3
102	если бы	3	3
103	таком случае	2	3
104	и то	9	2
105	никогда не	11	2
106	однако здесь	3	2
107	все эти	5	2
108	но о	3	2
109	в какой	2	2
110	не столько	3	2
111	не является	2	2
112	из этих	3	2
113	бытия и	2	2
114	не просто	10	2
115	вовсе не	13	2
116	вопрос о	4	2
117	в начале	2	2
118	то в	6	2
119	и потому	10	2
120	такой же	4	2
121	должно быть	5	2
122	для него	8	2
123	или не	3	2
124	было бы	4	2
125	несмотря на	7	2
126	себе в	2	2
127	за пределы	3	2
128	и о	4	2
129	не о	2	2
130	еще в	5	2
131	не все	3	2
132	как говорит	2	2
133	не к	2	2
134	из них	2	2
135	данном случае	2	2
136	со стороны	2	2
137	что же	9	2
138	который в	2	2
139	другой стороны	2	2
140	отличается от	3	2
141	здесь не	3	2
142	с бытием	2	2
143	отношения к	5	2
144	этом отношении	2	2
145	на самом	3	2
146	свидетельствует о	2	2
147	едва ли	11	2
148	и по	2	2
149	роль в	2	2
150	как мы	8	2
151	на себя	2	2
152	то он	4	2
153	также и	17	2
154	для себя	5	2
155	в данном	5	2
156	же самое	3	2
157	при помощи	4	2
158	нет ничего	2	2
159	так как	7	2
160	потому что	11	2
161	в которой	2	2
162	и с	9	2
