N	2gram	Bakhtin_Fr_6	Otkroven
1	у него	7	22
2	и в	41	19
3	но и	13	13
4	и не	3	13
5	в этом	12	12
6	а не	2	11
7	не в	4	11
8	может быть	2	11
9	не только	10	11
10	человека и	2	10
11	и все	9	10
12	в нем	16	10
13	никогда не	8	9
14	потому что	3	9
15	прежде всего	10	9
16	и он	5	8
17	он был	4	8
18	лишь в	2	7
19	но он	5	7
20	до конца	2	7
21	от него	2	7
22	он не	2	7
23	в его	7	7
24	все это	11	6
25	как и	7	6
26	то что	10	5
27	а в	4	5
28	в том	2	5
29	в этой	8	5
30	в самом	10	5
31	с его	5	4
32	он сам	3	4
33	того чтобы	4	4
34	что не	3	4
35	и его	13	4
36	все эти	11	4
37	не может	4	4
38	что в	7	4
39	к нему	3	3
40	не могут	2	3
41	в этих	2	3
42	что он	6	3
43	того что	3	3
44	что человек	2	3
45	и от	4	3
46	все что	4	3
47	в себе	5	3
48	было бы	3	3
49	никто не	2	3
50	о том	9	3
51	с ним	4	3
52	как бы	7	3
53	это было	2	3
54	у кого	2	2
55	уже в	4	2
56	все же	4	2
57	он в	2	2
58	и для	3	2
59	в истории	2	2
60	природы и	2	2
61	так и	5	2
62	в своем	5	2
63	что все	2	2
64	и очень	2	2
65	в ее	5	2
66	том что	7	2
67	так что	2	2
68	в другом	4	2
69	и на	9	2
70	и то	2	2
71	что они	2	2
72	сказать что	6	2
73	и с	16	2
74	тем что	5	2
75	ведь это	2	2
76	вместо того	3	2
77	в своей	2	2
78	так как	10	2
79	и этим	2	2
80	хотя и	2	2
81	но в	8	2
82	и потому	2	2
