N	2gram	Vinokur_Ku_2	Mirosoze
1	и в	23	46
2	в нем	4	22
3	у него	3	22
4	может быть	15	21
5	в этом	18	20
6	никогда не	2	18
7	и не	16	18
8	не только	20	18
9	но и	7	15
10	не может	9	15
11	как и	2	13
12	а не	10	13
13	прежде всего	8	12
14	потому что	25	12
15	не было	4	11
16	в ней	3	11
17	у нас	12	11
18	но в	11	10
19	он не	3	10
20	не в	8	9
21	не знает	3	9
22	и есть	2	8
23	но это	3	8
24	как бы	4	8
25	в своем	2	8
26	так как	15	8
27	она не	2	8
28	в этой	6	7
29	в нашем	7	7
30	что он	5	7
31	и потому	2	7
32	как в	3	7
33	хотя бы	9	7
34	и для	2	7
35	вопрос о	9	6
36	что это	7	6
37	так же	4	6
38	того что	3	6
39	и здесь	5	6
40	революции и	2	6
41	то же	6	5
42	я не	5	5
43	бы и	4	5
44	в отношении	2	5
45	что все	5	5
46	и вот	5	5
47	в самом	12	5
48	один из	5	5
49	что она	3	5
50	те же	3	5
51	это не	6	5
52	в конце	4	5
53	и все	2	5
54	к тому	4	5
55	по преимуществу	2	5
56	то что	9	5
57	в своей	2	5
58	для того	9	5
59	и его	3	5
60	в его	5	5
61	и это	3	5
62	что в	10	4
63	для этого	3	4
64	до конца	3	4
65	что у	2	4
66	не имеет	4	4
67	должны быть	2	4
68	в русском	10	4
69	также и	5	4
70	в свою	2	4
71	том что	11	4
72	должен быть	5	4
73	что и	3	4
74	так и	4	4
75	т е	22	4
76	уже не	8	4
77	того чтобы	11	4
78	вопроса о	6	4
79	же как	2	3
80	можно ли	4	3
81	и от	2	3
82	на все	2	3
83	теряет свою	2	3
84	ни в	4	3
85	в том	19	3
86	что они	2	3
87	смысле слова	2	3
88	в своих	2	3
89	и на	6	3
90	сказать что	4	3
91	и с	7	3
92	если бы	12	3
93	в них	4	3
94	это и	3	3
95	от того	4	3
96	того как	2	3
97	все равно	2	3
98	чтобы не	2	3
99	той же	2	3
100	тем что	3	3
101	только в	5	3
102	есть в	3	3
103	уже в	3	2
104	не всегда	2	2
105	да и	6	2
106	как у	2	2
107	этого вопроса	3	2
108	и если	2	2
109	есть явление	2	2
110	но для	3	2
111	хотя и	4	2
112	же и	2	2
113	в сфере	3	2
114	к нему	2	2
115	которое было	2	2
116	отношения к	2	2
117	что за	2	2
118	достоевского и	2	2
119	стоит в	2	2
120	лишь в	5	2
121	должно быть	4	2
122	а в	3	2
123	точки зрения	14	2
124	между тем	6	2
125	на этом	3	2
126	превращается в	2	2
127	по себе	10	2
128	связи с	3	2
129	в обычном	2	2
130	чем в	3	2
131	в которые	3	2
132	нельзя было	2	2
133	после того	2	2
134	и что	8	2
135	тот же	5	2
136	в сущности	9	2
137	он уже	2	2
138	оно не	2	2
139	вместе с	5	2
140	что же	5	2
141	в атмосфере	2	2
142	что не	6	2
143	вот почему	3	2
144	можно было	9	2
145	не надо	3	2
146	от этого	2	2
147	сознания и	2	2
148	как будто	2	2
149	ничего не	4	2
