N	2gram	Medvedev_V_1	FransuaR
1	и в	26	45
2	и не	19	15
3	не только	25	14
4	в этом	26	14
5	но в	2	14
6	в его	14	13
7	во всех	6	13
8	и его	6	13
9	как бы	5	12
10	во время	3	12
11	что в	10	12
12	в своем	8	11
13	в романе	4	11
14	то же	10	11
15	в то	6	11
16	прежде всего	13	10
17	в том	15	10
18	в нем	6	10
19	но и	10	10
20	образов в	2	10
21	как и	7	10
22	же время	5	9
23	вовсе не	3	8
24	в ней	2	8
25	и др	9	8
26	жизни и	3	8
27	таким образом	31	8
28	так же	3	8
29	мира и	3	8
30	с его	3	7
31	в конце	3	7
32	том что	8	7
33	не в	6	7
34	что и	3	7
35	мы видели	3	7
36	все это	10	7
37	также и	2	7
38	всех этих	2	6
39	что он	4	6
40	в этой	4	6
41	он не	2	6
42	так и	5	6
43	того чтобы	3	6
44	для того	3	6
45	связи с	4	6
46	в них	4	6
47	и образов	5	5
48	и образы	3	5
49	и к	3	5
50	это и	6	5
51	например в	3	5
52	одним из	5	5
53	хотя и	2	5
54	и их	3	5
55	как раз	3	5
56	не может	17	5
57	в связи	3	5
58	этом отношении	13	5
59	все эти	6	5
60	и у	2	5
61	и как	3	5
62	его в	3	5
63	перед нами	4	4
64	же как	2	4
65	на время	2	4
66	об этом	9	4
67	все они	2	4
68	том числе	2	4
69	и от	3	4
70	у него	6	4
71	но не	2	4
72	по поводу	2	4
73	в самом	4	4
74	в общем	2	4
75	между собою	2	4
76	в их	5	4
77	а не	7	4
78	и даже	2	4
79	его не	3	4
80	как на	3	4
81	а в	3	4
82	можно было	2	4
83	сказать что	5	4
84	чем же	4	4
85	с этим	3	4
86	точки зрения	3	4
87	образов и	4	4
88	только в	7	4
89	о том	10	4
90	бы в	3	4
91	как это	12	4
92	не менее	2	3
93	от его	2	3
94	это не	7	3
95	из этих	7	3
96	в одном	4	3
97	по существу	3	3
98	для него	8	3
99	в своей	4	3
100	от того	2	3
101	вместе с	7	3
102	что она	2	3
103	до нас	2	3
104	не было	7	3
105	еще и	2	3
106	именно в	2	3
107	в течение	2	3
108	в году	6	3
109	того что	3	3
110	и он	2	3
111	и для	2	3
112	в которых	3	3
113	он и	2	3
114	в другом	2	3
115	как он	2	3
116	о чем	2	3
117	всего сказанного	2	2
118	не могут	7	2
119	с тем	3	2
120	и есть	5	2
121	говорить о	2	2
122	хотя бы	19	2
123	относится к	2	2
124	что все	3	2
125	к этому	9	2
126	из своих	2	2
127	числе и	2	2
128	можно сказать	4	2
129	к тому	4	2
130	то что	6	2
131	др в	3	2
132	в пределах	5	2
133	в качестве	11	2
134	из его	3	2
135	так например	2	2
136	было бы	7	2
137	может быть	22	2
138	образы и	5	2
139	гете и	2	2
140	вплоть до	2	2
141	том же	6	2
142	если в	2	2
143	даже в	5	2
144	нет и	3	2
145	образами и	2	2
146	один из	5	2
147	должен быть	4	2
148	в каждом	2	2
149	все же	5	2
150	в целом	4	2
151	когда он	3	2
152	в различных	2	2
153	вот это	2	2
154	в особенности	2	2
155	начиная с	2	2
156	чтобы не	2	2
157	лишь в	2	2
158	в значительной	3	2
159	в системе	2	2
160	и наконец	2	2
161	другом месте	2	2
162	роль в	4	2
163	войны и	2	2
164	не подлежит	2	2
165	не столько	2	2
166	между тем	5	2
167	после всего	2	2
168	ту же	2	2
169	же самое	2	2
170	в чем	2	2
171	которая не	2	2
172	труда и	2	2
173	нет ни	2	2
174	подчеркнуть что	2	2
175	говорит и	8	2
176	том как	3	2
