N	2gram	Vinokur_Ku_1	DiskursI
1	в себе	3	19
2	при этом	6	17
3	состоит в	3	16
4	в качестве	7	16
5	и в	24	16
6	может быть	13	16
7	как и	2	16
8	в этом	14	16
9	и не	12	15
10	а не	8	14
11	в частности	4	12
12	но и	6	11
13	тогда как	2	11
14	но в	2	11
15	том что	21	10
16	не только	10	10
17	со стороны	4	10
18	так и	7	9
19	не может	7	9
20	в том	30	8
21	как в	4	8
22	в рамках	4	7
23	не менее	7	7
24	прежде всего	9	7
25	в нем	4	7
26	ни в	2	7
27	но не	5	7
28	в данном	4	7
29	с его	4	6
30	еще не	5	6
31	все же	12	6
32	в своей	2	6
33	то же	8	6
34	тем самым	4	6
35	а с	3	5
36	что в	17	5
37	в своем	3	5
38	с другой	7	5
39	в противовес	3	5
40	же время	2	5
41	то что	9	5
42	и на	4	5
43	в то	2	5
44	в одном	3	4
45	разумеется не	4	4
46	в пределах	4	4
47	как бы	7	4
48	отношению к	9	4
49	по отношению	8	4
50	этом отношении	5	4
51	роль в	4	4
52	потому что	23	4
53	одно из	2	4
54	точки зрения	14	4
55	в этой	3	4
56	и то	3	4
57	о том	9	4
58	не является	2	4
59	и может	3	3
60	в этих	4	3
61	в них	7	3
62	это не	7	3
63	не столько	2	3
64	из этих	4	3
65	и все	2	3
66	было в	2	3
67	или иной	3	3
68	уже не	8	3
69	и того	2	3
70	и как	2	3
71	не в	11	3
72	соответствии с	3	3
73	не знают	2	3
74	в контексте	2	3
75	можно сказать	3	3
76	например в	5	3
77	он не	2	3
78	в его	12	3
79	в котором	3	3
80	к жизни	2	3
81	из них	4	3
82	не было	3	3
83	иначе говоря	2	3
84	все эти	6	3
85	также и	2	3
86	как на	3	3
87	и его	5	3
88	одного и	2	3
89	только в	11	3
90	никогда не	2	2
91	по большей	2	2
92	же касается	4	2
93	в большинстве	2	2
94	в целом	4	2
95	или иного	3	2
96	большей части	2	2
97	этом случае	2	2
98	идет о	2	2
99	на мой	2	2
100	указать на	4	2
101	в той	5	2
102	что он	6	2
103	в соответствии	3	2
104	есть в	4	2
105	того же	4	2
106	должна быть	3	2
107	первую очередь	2	2
108	с их	3	2
109	о чем	2	2
110	общения и	2	2
111	в первую	4	2
112	свое время	2	2
113	в ней	6	2
114	в свое	2	2
115	не с	3	2
116	что и	4	2
117	с точки	9	2
118	но уже	5	2
119	вместе с	7	2
120	что же	6	2
121	в языке	8	2
122	не на	4	2
123	именно в	6	2
124	по преимуществу	2	2
125	к своему	2	2
126	сводится к	3	2
127	все это	6	2
128	другой стороны	6	2
129	речи в	4	2
130	и для	2	2
131	должно быть	3	2
132	а в	5	2
133	той же	3	2
134	в результате	5	2
135	и с	5	2
136	может иметь	2	2
137	на примере	2	2
138	здесь не	3	2
139	в области	7	2
140	мы имеем	6	2
141	между тем	5	2
142	мой взгляд	2	2
