N	2gram	Bakhtin_Fr_5	Tvorches
1	и в	45	21
2	как бы	12	17
3	в то	11	15
4	в его	13	13
5	то же	11	13
6	что в	12	12
7	как и	10	12
8	же время	9	12
9	то есть	25	12
10	с его	7	11
11	том что	7	11
12	в романе	11	10
13	все это	7	10
14	как в	3	8
15	он не	6	8
16	то что	2	8
17	у него	4	7
18	в том	10	7
19	при этом	2	7
20	не только	14	7
21	и не	15	7
22	в году	3	7
23	и на	5	7
24	но в	14	7
25	что он	6	6
26	жизни в	2	6
27	и все	7	6
28	не менее	3	6
29	для него	3	6
30	а в	4	6
31	и его	13	6
32	в этом	14	6
33	о том	4	6
34	вовсе не	8	5
35	а не	4	5
36	но это	5	5
37	может быть	2	5
38	в этой	6	5
39	все же	2	5
40	таким образом	8	5
41	хотя бы	2	5
42	потому что	7	5
43	только в	4	5
44	в своем	11	4
45	прежде всего	10	4
46	и как	5	4
47	в целом	2	4
48	одной из	5	4
49	одним из	5	4
50	один из	2	4
51	своего рода	4	4
52	в своей	3	4
53	мысли и	6	4
54	не может	5	4
55	это не	3	4
56	и от	4	4
57	на эту	2	4
58	и другие	3	3
59	что все	2	3
60	в каждом	2	3
61	это в	2	3
62	с ним	5	3
63	с ее	5	3
64	это и	5	3
65	но не	4	3
66	со всеми	5	3
67	в самом	4	3
68	той же	4	3
69	даже в	2	3
70	в нем	10	3
71	жизни и	8	3
72	но и	10	3
73	первой части	4	3
74	в ту	2	3
75	в их	4	3
76	во времени	2	3
77	на самом	5	3
78	того что	3	3
79	и даже	4	3
80	так же	8	3
81	и с	10	3
82	хотя и	5	3
83	ту же	2	3
84	дело в	3	3
85	так как	6	3
86	в основе	4	2
87	такой же	4	2
88	перед нами	4	2
89	и та	2	2
90	на том	2	2
91	в качестве	2	2
92	не столько	2	2
93	к этому	2	2
94	века с	2	2
95	можно сказать	2	2
96	что и	7	2
97	его как	4	2
98	об этом	4	2
99	не в	7	2
100	того же	3	2
101	на площади	3	2
102	в первой	4	2
103	к тому	2	2
104	в одной	3	2
105	в ней	8	2
106	к ней	2	2
107	площади и	2	2
108	если в	2	2
109	здесь нет	3	2
110	в духе	2	2
111	в средневековой	2	2
112	еще в	2	2
113	во второй	2	2
114	когда он	2	2
115	вместе с	3	2
116	но она	3	2
117	данном случае	2	2
118	так и	6	2
119	этой связи	3	2
120	но его	3	2
121	в отличие	2	2
122	именно в	3	2
123	одновременно и	2	2
124	в себя	5	2
125	мы находим	4	2
126	что она	3	2
127	свободы и	2	2
128	в одно	2	2
129	не мог	4	2
130	самом деле	5	2
131	жизни он	3	2
132	и у	5	2
133	и наконец	2	2
134	и он	3	2
135	и притом	2	2
136	отличие от	2	2
137	сказать что	4	2
138	больше чем	2	2
139	но он	3	2
140	это время	2	2
141	в данном	2	2
142	переходит в	2	2
143	человека с	5	2
144	в чем	2	2
145	нет ни	2	2
