N	3gram	Losev_Prob_3	Myslijsy
1	в том что	9	13
2	не может быть	5	9
3	и в этом	6	6
4	тем не менее	10	6
5	с другой стороны	5	5
6	в том смысле	3	4
7	и т д	13	4
8	само по себе	3	4
9	но и в	2	4
10	с точки зрения	2	3
11	в то же	4	3
12	не только в	2	3
13	сама по себе	8	3
14	и как бы	2	3
15	что и в	3	3
16	то это не	2	2
17	по крайней мере	5	2
18	друг от друга	2	2
19	дело в том	3	2
20	в таком случае	4	2
21	а не есть	2	2
22	что иное как	4	2
23	но с другой	2	2
24	только потому что	2	2
25	в сравнении с	2	2
26	бы то ни	4	2
27	не что иное	4	2
