N	2gram	Propp_Morf_1	Dialekti
1	т е	21	30
2	и не	12	30
3	может быть	52	20
4	и в	13	19
5	не только	4	19
6	и т	41	17
7	а не	11	16
8	т д	39	15
9	то что	8	14
10	что она	2	14
11	в том	6	14
12	как бы	3	14
13	так как	16	14
14	потому что	3	14
15	вовсе не	4	13
16	но и	4	12
17	то же	7	12
18	значит что	3	12
19	точки зрения	2	12
20	как и	3	10
21	и как	5	10
22	так и	6	10
23	том что	4	10
24	это не	6	10
25	сказать что	2	10
26	не может	14	9
27	прежде всего	9	8
28	она не	2	8
29	есть нечто	3	8
30	с точки	2	8
31	не в	3	8
32	в этом	14	8
33	как это	3	7
34	но это	6	7
35	и к	4	7
36	что в	8	7
37	время как	3	7
38	как будто	2	7
39	что он	4	6
40	что они	2	6
41	в то	3	6
42	но не	4	6
43	есть и	4	6
44	того что	3	6
45	с другой	8	5
46	по своему	2	5
47	можно сказать	2	5
48	и пр	37	5
49	что и	7	5
50	и что	2	5
51	только что	2	5
52	но как	2	5
53	говорить о	3	5
54	только в	2	5
55	о том	2	5
56	независимо от	3	4
57	и есть	2	4
58	ясно что	5	4
59	та же	2	4
60	не могут	4	4
61	как таковой	2	4
62	все же	7	4
63	то время	3	4
64	еще не	3	4
65	к нему	3	4
66	он не	3	4
67	хотя бы	4	4
68	связи с	10	4
69	быть и	2	4
70	от того	3	4
71	без всякого	2	4
72	другой стороны	4	4
73	в связи	9	4
74	таким образом	21	4
75	самом деле	4	4
76	и по	2	4
77	а в	7	4
78	могут быть	16	4
79	в каком	2	4
80	в другом	2	4
81	не менее	5	3
82	в этих	13	3
83	сразу же	2	3
84	вопрос о	7	3
85	об этом	4	3
86	как мы	6	3
87	уже не	2	3
88	это и	2	3
89	в этой	2	3
90	было бы	3	3
91	может существовать	3	3
92	или нет	2	3
93	не значит	2	3
94	по воздуху	2	3
95	этого нет	2	3
96	как же	2	3
97	из них	3	3
98	то как	2	3
99	и их	2	3
100	с этим	11	3
101	мы имеем	9	3
102	что такое	3	3
103	между собою	2	3
104	в один	3	3
105	его в	2	3
106	ничего не	4	3
107	это было	3	3
108	если она	2	2
109	что же	2	2
110	связана с	3	2
111	это уже	3	2
112	в частности	2	2
113	в какой	3	2
114	перед нами	10	2
115	на самом	4	2
116	он может	2	2
117	но мы	3	2
118	в тех	6	2
119	если мы	5	2
120	то это	3	2
121	к тому	4	2
122	тем не	5	2
123	же в	2	2
124	но все	3	2
125	мы видим	13	2
126	с тем	2	2
127	или менее	2	2
128	на его	4	2
129	в сущности	3	2
130	несмотря на	4	2
131	не по	2	2
132	всяком случае	2	2
133	если в	5	2
134	во всех	4	2
135	в некоторых	3	2
136	на него	3	2
137	дело не	2	2
138	тому что	4	2
139	так же	3	2
140	не на	2	2
141	например в	2	2
142	того как	2	2
143	как в	3	2
144	имеется в	3	2
145	более или	2	2
146	или в	4	2
147	также и	4	2
148	в результате	7	2
149	между тем	5	2
150	существовать без	2	2
151	тем что	4	2
152	в виде	2	2
153	или на	3	2
154	мы получаем	2	2
155	во время	6	2
156	или не	3	2
157	что мы	2	2
158	или по	2	2
159	мы должны	3	2
160	во всяком	2	2
161	но вот	2	2
162	что эти	2	2
163	все эти	2	2
164	сразу и	2	2
165	живой и	2	2
166	в которой	3	2
167	но в	2	2
168	на этом	3	2
