N	2gram	Vinokur_St_3	Russkaja
1	не может	7	22
2	и не	10	19
3	в том	20	17
4	в этом	24	17
5	и в	25	14
6	то что	12	13
7	таким образом	10	11
8	то же	5	11
9	точки зрения	7	11
10	же время	3	10
11	но и	9	10
12	в то	7	10
13	том что	15	9
14	не только	12	9
15	с точки	4	9
16	может быть	19	9
17	во всяком	4	9
18	прежде всего	10	8
19	как на	6	8
20	к тому	2	7
21	и если	3	7
22	самом деле	2	7
23	о том	8	7
24	и с	4	7
25	если бы	4	6
26	что он	19	6
27	и к	4	6
28	с тем	4	6
29	для него	3	6
30	для того	2	6
31	всяком случае	4	6
32	если в	2	6
33	все это	8	6
34	и для	4	6
35	в своих	8	6
36	в россии	6	6
37	себя и	2	5
38	на то	5	5
39	и на	6	5
40	или иной	2	5
41	до сих	2	5
42	было бы	7	5
43	в своей	4	5
44	он не	5	5
45	никогда не	2	5
46	сих пор	2	5
47	во всех	2	5
48	и только	2	5
49	а потому	2	5
50	из которых	4	5
51	а в	6	5
52	потому что	5	5
53	только в	6	5
54	между тем	6	5
55	но не	2	4
56	что в	19	4
57	тогда когда	2	4
58	как и	4	4
59	как бы	6	4
60	все же	4	4
61	вместе с	2	4
62	со стороны	3	4
63	от того	2	4
64	в их	3	4
65	точку зрения	2	4
66	не в	6	4
67	в этой	14	4
68	в его	12	4
69	так как	3	4
70	к этой	2	4
71	что это	16	3
72	из этих	6	3
73	в конце	6	3
74	что все	3	3
75	о которых	3	3
76	всех этих	3	3
77	в другом	3	3
78	то в	4	3
79	лишь в	4	3
80	что они	2	3
81	так чтобы	2	3
82	в качестве	4	3
83	еще не	2	3
84	несмотря на	3	3
85	в самом	2	3
86	том чтобы	2	3
87	одной из	2	3
88	для этого	2	3
89	и т	8	3
90	все они	3	3
91	россии и	2	3
92	не было	4	3
93	того что	5	3
94	и по	2	3
95	что для	3	3
96	или в	2	3
97	тем что	19	3
98	и во	2	3
99	в виде	3	3
100	говорить о	3	3
101	связи с	3	3
102	из этого	4	3
103	конце концов	3	3
104	и ни	2	3
105	одна из	2	3
106	место в	6	2
107	а с	2	2
108	и более	3	2
109	у него	9	2
110	по этому	3	2
111	с этим	7	2
112	это в	4	2
113	состоит в	4	2
114	этот человек	2	2
115	ни в	5	2
116	уже не	3	2
117	к такому	2	2
118	так что	11	2
119	это есть	4	2
120	но это	4	2
121	отличается от	4	2
122	и тот	2	2
123	в ней	4	2
124	на это	2	2
125	в котором	5	2
126	речь идет	2	2
127	на почве	5	2
128	и тем	4	2
129	в некоторых	3	2
130	ее в	2	2
131	чтобы в	2	2
132	и тогда	2	2
133	тому что	3	2
134	в течение	4	2
135	все эти	3	2
136	не просто	2	2
137	и что	3	2
138	а не	5	2
139	что такое	7	2
140	и наконец	3	2
141	не так	3	2
142	к нему	4	2
143	во многих	2	2
144	для россии	4	2
145	в результате	2	2
146	в начале	4	2
147	во время	3	2
148	в этих	11	2
149	отметить что	5	2
150	в области	6	2
151	но в	5	2
