N	2gram	Tiupa_Narr_2	KFilosof
1	может быть	10	43
2	в его	6	39
3	в нем	5	31
4	не может	8	27
5	и не	14	26
6	в бытии	2	26
7	по отношению	5	25
8	и в	13	22
9	в котором	5	21
10	отношению к	5	21
11	в себе	8	21
12	в ее	4	17
13	а не	17	17
14	и его	3	17
15	только в	11	16
16	точки зрения	5	13
17	в этом	13	13
18	для него	4	12
19	но не	3	12
20	все эти	3	11
21	в своей	4	11
22	не в	8	11
23	в своем	6	10
24	это не	3	10
25	с точки	2	10
26	в целом	3	9
27	но и	15	9
28	как бы	6	9
29	и все	4	9
30	и для	3	9
31	если бы	4	8
32	было бы	2	8
33	жизни и	4	8
34	со стороны	6	8
35	и здесь	2	7
36	вовсе не	2	7
37	что и	2	7
38	то что	8	7
39	себя в	2	7
40	в себя	4	7
41	я не	5	6
42	в том	14	6
43	но это	2	6
44	в мире	4	6
45	отнюдь не	4	6
46	он не	5	6
47	уже не	4	6
48	мира в	4	6
49	никогда не	6	5
50	хотя бы	2	5
51	то же	4	5
52	от его	2	5
53	именно в	2	5
54	не имеет	2	5
55	с ним	4	5
56	но в	6	5
57	жизни в	6	5
58	как и	4	5
59	что я	3	5
60	не только	26	5
61	для себя	3	5
62	все же	6	5
63	бытия в	2	5
64	мы имеем	3	5
65	времени и	4	4
66	место в	5	4
67	моей жизни	2	4
68	что в	4	4
69	для нас	2	4
70	при этом	14	4
71	в своих	2	4
72	с ними	3	4
73	между тем	3	4
74	в категориях	2	4
75	могло бы	2	4
76	мира и	3	4
77	том что	13	4
78	о нем	3	4
79	а в	9	4
80	тем самым	5	4
81	и т.д	4	4
82	в чем	2	4
83	должна быть	2	3
84	что это	4	3
85	не менее	4	3
86	в свою	2	3
87	себе и	2	3
88	и тем	5	3
89	того что	6	3
90	в ней	2	3
91	в то	5	3
92	того или	3	3
93	о том	5	3
94	мы не	2	3
95	или иного	3	3
96	не должен	2	3
97	по своему	2	3
98	мира не	2	3
99	еще не	2	3
100	не могу	2	3
101	себя не	2	3
102	в современной	2	3
103	на самом	2	3
104	самом деле	3	3
105	вступает в	2	3
106	в другом	4	3
107	здесь не	2	3
108	ничего не	6	3
109	а с	2	2
110	я уже	2	2
111	прежде всего	6	2
112	вследствие этого	2	2
113	пространство и	2	2
114	или иной	3	2
115	ему в	2	2
116	тем не	5	2
117	только по	2	2
118	соответствии с	3	2
119	же время	3	2
120	он может	2	2
121	но для	2	2
122	в него	2	2
123	его жизни	2	2
124	тому что	3	2
125	как к	3	2
126	в принципе	2	2
127	потому что	2	2
128	к себе	7	2
129	той или	3	2
130	говорить о	2	2
131	в сознании	2	2
132	а как	3	2
133	с его	3	2
134	в жизни	6	2
135	что он	5	2
136	и того	3	2
137	в соответствии	3	2
138	не будет	2	2
139	в качестве	14	2
140	со всеми	2	2
141	и когда	3	2
142	оно не	2	2
143	в процессе	2	2
144	так и	9	2
145	как в	5	2
146	дело с	2	2
147	в виде	2	2
148	если не	2	2
149	сводится к	9	2
150	того чтобы	3	2
151	в данном	10	2
152	всей своей	2	2
153	в этой	4	2
154	которой он	3	2
155	едва ли	3	2
156	в области	2	2
