N	2gram	Losev_Vesc_1	FransuaR
1	и в	21	49
2	прежде всего	9	19
3	в его	2	18
4	не только	36	17
5	и его	2	17
6	и не	29	15
7	в этом	4	15
8	только в	14	13
9	но и	18	13
10	как и	8	11
11	как бы	12	11
12	вовсе не	10	10
13	в этой	3	10
14	все это	5	9
15	для него	4	9
16	в нем	2	9
17	в сущности	4	8
18	все же	4	7
19	один из	3	7
20	жизни и	2	7
21	не может	17	7
22	таким образом	8	7
23	то же	6	7
24	все эти	3	7
25	как мы	4	7
26	то что	27	6
27	в себя	13	6
28	мы уже	3	6
29	во всех	2	6
30	так и	3	6
31	сказать что	17	6
32	и с	8	6
33	но он	2	6
34	точки зрения	5	6
35	в то	3	6
36	так как	7	6
37	никогда не	2	5
38	в своем	6	5
39	выражение в	3	5
40	но не	5	5
41	тот же	3	5
42	может быть	16	5
43	и потому	5	5
44	относится к	5	5
45	в своей	5	5
46	с точки	3	5
47	она была	2	4
48	с другой	6	4
49	и во	3	4
50	в жизни	3	4
51	в себе	14	4
52	том что	8	4
53	одна из	5	4
54	и о	3	4
55	в свое	2	4
56	а в	4	4
57	мы находим	2	4
58	тем что	2	4
59	с ним	8	4
60	но в	5	4
61	с одной	3	3
62	другими словами	5	3
63	в одном	2	3
64	в собственном	2	3
65	в ее	7	3
66	в том	8	3
67	да и	3	3
68	а затем	2	3
69	нельзя было	4	3
70	но именно	2	3
71	одной стороны	3	3
72	было бы	14	3
73	из них	4	3
74	в самом	9	3
75	свое время	2	3
76	с ее	6	3
77	другой стороны	2	3
78	и все	5	3
79	и вот	2	3
80	с полной	4	3
81	только с	3	3
82	можно было	2	3
83	также и	6	3
84	их в	3	3
85	о том	6	3
86	и это	14	3
87	почти все	2	3
88	в виду	2	3
89	смысла и	5	2
90	содержит в	4	2
91	что в	9	2
92	мы еще	2	2
93	перестает быть	3	2
94	но даже	3	2
95	затем и	2	2
96	даже и	4	2
97	в смысле	12	2
98	на то	4	2
99	можно сказать	6	2
100	и эти	2	2
101	в отношении	4	2
102	без всякого	4	2
103	в самой	2	2
104	чем мы	3	2
105	по существу	2	2
106	это и	6	2
107	но это	10	2
108	что они	6	2
109	только то	2	2
110	по сравнению	7	2
111	и без	3	2
112	ничего не	3	2
113	всем что	2	2
114	еще не	8	2
115	совершенно не	5	2
116	понять и	2	2
117	у него	2	2
118	хотя и	4	2
119	в ней	12	2
120	к ней	2	2
121	по преимуществу	2	2
122	собственном смысле	3	2
123	существования и	3	2
124	смысл и	9	2
125	того чтобы	3	2
126	и эта	3	2
127	и даже	6	2
128	тому как	4	2
129	во всяком	3	2
130	что только	3	2
131	и следовательно	7	2
132	себе в	3	2
133	подобно тому	4	2
134	как к	4	2
135	и еще	2	2
136	в другом	2	2
137	мы должны	2	2
138	сравнению с	6	2
139	в конце	2	2
140	всяком случае	2	2
141	мы можем	4	2
