N	2gram	Losev_Dial_1	TeoriaLi
1	в мире	2	24
2	– это	9	20
3	не только	13	18
4	в качестве	2	17
5	и не	30	16
6	я в	2	16
7	– в	4	14
8	а в	5	14
9	в частности	2	13
10	и в	18	13
11	может быть	17	12
12	так и	9	12
13	в этом	12	11
14	в том	9	11
15	но не	4	10
16	а не	14	10
17	в его	3	9
18	то же	10	9
19	что в	13	8
20	но и	7	8
21	в себе	11	7
22	том что	9	7
23	в данном	3	7
24	точки зрения	17	7
25	в то	6	7
26	только в	3	7
27	как это	4	7
28	же время	4	6
29	еще не	2	6
30	как бы	11	6
31	но в	6	6
32	в своем	5	5
33	или иной	3	5
34	как и	2	5
35	не в	6	5
36	в самом	3	5
37	в нем	16	5
38	как в	2	5
39	он не	3	5
40	уже не	2	5
41	с другой	6	5
42	мы имеем	2	5
43	не менее	2	4
44	можно сказать	6	4
45	ни в	15	4
46	более или	3	4
47	в своей	2	4
48	то что	13	4
49	отношение к	5	4
50	или менее	3	4
51	в их	3	4
52	не может	12	4
53	сказать что	10	4
54	хотя и	4	4
55	говорить о	5	4
56	не знает	2	4
57	ни к	2	3
58	никогда не	9	3
59	в этих	5	3
60	в отношении	5	3
61	в противоположность	5	3
62	этом смысле	3	3
63	прежде всего	10	3
64	а только	3	3
65	для него	2	3
66	объекта и	2	3
67	того что	2	3
68	мог бы	2	3
69	и –	14	3
70	той или	7	3
71	и потому	3	3
72	– не	11	3
73	другой стороны	4	3
74	как раз	4	3
75	а с	2	3
76	именно в	2	3
77	в другом	2	3
78	и вот	6	3
79	и что	12	3
80	– все	6	3
81	и то	9	3
82	потому что	14	3
83	в основе	3	3
84	отношении к	3	3
85	все эти	2	3
86	я не	5	2
87	сама по	8	2
88	е о	2	2
89	о чем	2	2
90	если бы	12	2
91	была бы	3	2
92	могут быть	3	2
93	в конце	4	2
94	это не	9	2
95	но –	4	2
96	вовсе не	7	2
97	по себе	25	2
98	что он	11	2
99	к тому	4	2
100	об этом	4	2
101	при условии	3	2
102	но как	2	2
103	и как	7	2
104	– и	3	2
105	что они	3	2
106	одной стороны	2	2
107	одно и	4	2
108	и больше	2	2
109	о своем	2	2
110	вслед за	2	2
111	в виду	5	2
112	даже в	3	2
113	не с	5	2
114	к нему	8	2
115	дело не	2	2
116	но она	3	2
117	образом и	2	2
118	со стороны	2	2
119	собственно говоря	4	2
120	и для	2	2
121	– как	5	2
122	с одной	2	2
123	и состоит	2	2
124	это и	4	2
125	тех или	3	2
126	и о	3	2
127	говорит что	3	2
128	с точки	12	2
129	и даже	13	2
130	и притом	4	2
131	так же	4	2
132	могла бы	2	2
133	о том	4	2
134	и это	2	2
135	в чем	6	2
136	отношения к	3	2
137	на деле	2	2
138	это было	2	2
139	для меня	4	2
