N	2gram	Vinokur_Ku_3	Tvorches
1	и в	23	20
2	не только	17	13
3	и т	54	13
4	т д	8	11
5	как бы	5	11
6	в его	11	10
7	таким образом	9	10
8	в то	3	10
9	и не	10	9
10	прежде всего	9	8
11	в том	22	8
12	при этом	6	8
13	но и	3	8
14	может быть	14	8
15	в этом	16	8
16	и с	3	8
17	это не	3	7
18	что в	13	7
19	не может	6	7
20	то же	6	7
21	потому что	12	7
22	xix века	3	7
23	что он	6	6
24	как и	5	6
25	в целом	4	6
26	в своей	4	6
27	так и	6	6
28	все это	2	6
29	именно в	3	6
30	а не	11	6
31	но это	5	5
32	еще не	9	5
33	но не	3	5
34	все же	5	5
35	так же	2	5
36	о том	6	5
37	мы не	3	4
38	том что	11	4
39	в дальнейшем	2	4
40	что они	2	4
41	отнюдь не	3	4
42	хотя и	5	4
43	что она	5	4
44	когда он	2	4
45	как в	4	4
46	все эти	7	4
47	тем самым	4	4
48	не в	5	4
49	а в	5	4
50	в чем	5	4
51	ничего не	6	4
52	если бы	8	4
53	но в	2	4
54	а с	3	3
55	с этой	3	3
56	отношению к	2	3
57	на западе	2	3
58	что не	4	3
59	своего рода	2	3
60	в самом	13	3
61	в область	2	3
62	он не	3	3
63	в котором	2	3
64	один из	4	3
65	то что	4	3
66	вместе с	2	3
67	сих пор	8	3
68	в их	6	3
69	по отношению	3	3
70	и через	2	3
71	так как	9	3
72	в свете	2	3
73	уже не	8	3
74	в таком	4	3
75	этот вопрос	3	3
76	тем что	5	3
77	в которых	3	3
78	его в	2	3
79	между тем	4	3
80	до сих	8	3
81	уже в	3	2
82	не менее	12	2
83	и есть	5	2
84	это уже	3	2
85	и без	2	2
86	точку зрения	2	2
87	не означает	2	2
88	с другой	7	2
89	в одном	2	2
90	я не	5	2
91	вовсе не	5	2
92	во всяком	2	2
93	такой же	2	2
94	что на	3	2
95	в ее	4	2
96	тому же	3	2
97	у нас	10	2
98	как о	3	2
99	и если	2	2
100	в статье	2	2
101	в частности	2	2
102	то у	2	2
103	но если	3	2
104	для которого	2	2
105	точка зрения	4	2
106	только для	2	2
107	по преимуществу	3	2
108	в процессе	3	2
109	на него	3	2
110	так в	2	2
111	в отличие	2	2
112	т п	41	2
113	бы не	3	2
114	не было	4	2
115	всякого рода	5	2
116	самом деле	14	2
117	и что	7	2
118	может служить	2	2
119	на этот	2	2
120	другой стороны	3	2
121	не так	3	2
122	с другими	2	2
123	имеет в	2	2
124	не столько	4	2
125	не случайно	4	2
126	могут быть	6	2
127	говорить о	6	2
128	и только	3	2
129	только в	6	2
130	таком случае	2	2
131	в россии	2	2
132	так сказать	2	2
133	отличие от	2	2
134	классической литературы	2	2
