N	3gram	Potebnia_M_1	Problema
1	тем не менее	6	18
2	и т д	4	10
3	для того чтобы	2	8
4	в этом смысле	4	6
5	в таком случае	2	6
6	в том что	13	5
7	в то же	3	4
8	сама по себе	3	4
9	дело в том	2	3
10	с точки зрения	3	3
11	с другой стороны	5	3
12	не только не	2	3
13	и того же	2	2
14	по крайней мере	2	2
15	и в этом	6	2
16	только потому что	2	2
17	что иное как	2	2
18	то и другое	2	2
19	и как бы	3	2
20	одного и того	2	2
21	подобно тому как	3	2
22	не что иное	2	2
23	с тем что	3	2
24	не может быть	9	2
25	и что в	3	2
