N	2gram	Tiupa_Lite_2	NovoeSre
1	а не	20	17
2	не может	9	16
3	и в	19	16
4	во имя	2	15
5	и не	11	11
6	что в	4	9
7	жизни и	4	8
8	он не	5	8
9	в том	10	8
10	как и	10	7
11	в этом	9	7
12	может быть	17	7
13	никогда не	3	6
14	не знает	2	6
15	не в	4	6
16	но это	3	6
17	в нем	3	5
18	в жизни	2	5
19	с ее	2	5
20	и к	2	5
21	в ней	4	5
22	не только	8	5
23	не менее	6	4
24	то что	7	4
25	перестает быть	3	4
26	в них	2	4
27	не было	2	4
28	быть может	3	4
29	и для	3	4
30	потому что	2	4
31	прежде всего	4	4
32	о том	2	4
33	к жизни	2	3
34	но и	10	3
35	в истории	2	3
36	жизни в	4	3
37	с другой	8	3
38	во всех	3	3
39	в мире	9	3
40	в ее	2	3
41	в основе	2	3
42	с тем	2	3
43	подобно тому	2	3
44	еще не	2	3
45	тому как	2	3
46	в россии	2	3
47	жизни как	2	2
48	я не	5	2
49	себя в	6	2
50	у него	2	2
51	вместе с	5	2
52	так и	7	2
53	для этого	2	2
54	мысли и	2	2
55	и т.п	10	2
56	другой стороны	4	2
57	а в	3	2
58	с одной	7	2
59	уже не	2	2
60	такой же	3	2
61	одной стороны	6	2
62	и даже	8	2
63	хотя бы	2	2
64	но не	5	2
65	по существу	3	2
66	мы не	4	2
67	том что	7	2
68	в русском	2	2
69	же как	2	2
70	одна из	5	2
71	и с	3	2
72	и что	2	2
73	могут быть	2	2
74	права на	3	2
75	и на	6	2
76	не к	2	2
77	в себе	6	2
78	в то	9	2
79	такого рода	9	2
80	том чтобы	3	2
81	как это	2	2
82	но в	2	2
